date,site_id,lat,lon,method,pf_depth,thaw_depth,pf_observed,source,obs_limit
1990-09-01,West Dock 1 km grid,70.36667,-148.5667,Frost Probe Transect or Grid,52.0,52.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 km grid,70.36667,-148.5667,Frost Probe Transect or Grid,58.0,58.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 km grid,70.36667,-148.5667,Frost Probe Transect or Grid,51.0,51.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 km grid,70.36667,-148.5667,Frost Probe Transect or Grid,46.0,46.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 km grid,70.36667,-148.5667,Frost Probe Transect or Grid,46.0,46.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 km grid,70.36667,-148.5667,Frost Probe Transect or Grid,48.0,48.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 km grid,70.36667,-148.5667,Frost Probe Transect or Grid,48.0,48.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 km grid,70.36667,-148.5667,Frost Probe Transect or Grid,54.0,54.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 km grid,70.36667,-148.5667,Frost Probe Transect or Grid,45.0,45.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 km grid,70.36667,-148.5667,Frost Probe Transect or Grid,53.0,53.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 km grid,70.36667,-148.5667,Frost Probe Transect or Grid,44.0,44.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 km grid,70.36667,-148.5667,Frost Probe Transect or Grid,47.0,47.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 km grid,70.36667,-148.5667,Frost Probe Transect or Grid,44.0,44.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 km grid,70.36667,-148.5667,Frost Probe Transect or Grid,46.0,46.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 km grid,70.36667,-148.5667,Frost Probe Transect or Grid,51.0,51.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 km grid,70.36667,-148.5667,Frost Probe Transect or Grid,52.0,52.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 km grid,70.36667,-148.5667,Frost Probe Transect or Grid,54.0,54.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 km grid,70.36667,-148.5667,Frost Probe Transect or Grid,48.0,48.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 km grid,70.36667,-148.5667,Frost Probe Transect or Grid,54.0,54.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 km grid,70.36667,-148.5667,Frost Probe Transect or Grid,55.0,55.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 km grid,70.36667,-148.5667,Frost Probe Transect or Grid,56.0,56.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 km grid,70.36667,-148.5667,Frost Probe Transect or Grid,52.0,52.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 km grid,70.36667,-148.5667,Frost Probe Transect or Grid,58.0,58.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 km grid,70.36667,-148.5667,Frost Probe Transect or Grid,,,0,Brown_etal_2000_calm,
1990-09-01,West Dock 1 km grid,70.36667,-148.5667,Frost Probe Transect or Grid,51.0,51.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 km grid,70.36667,-148.5667,Frost Probe Transect or Grid,45.0,45.0,1,Brown_etal_2000_calm,
1990-09-01,West Dock 1 km grid,70.36667,-148.5667,Frost Probe Transect or Grid,57.0,57.0,1,Brown_etal_2000_calm,
1990-09-01,Deadhorse,70.1613,-148.4653,Frost Probe Transect or Grid & Borehole,,,0,Brown_etal_2000_calm,
1990-09-01,Deadhorse,70.1613,-148.4653,Frost Probe Transect or Grid & Borehole,,,0,Brown_etal_2000_calm,
1990-09-01,Deadhorse,70.1613,-148.4653,Frost Probe Transect or Grid & Borehole,,,0,Brown_etal_2000_calm,
1990-09-01,Deadhorse,70.1613,-148.4653,Frost Probe Transect or Grid & Borehole,,,0,Brown_etal_2000_calm,
1990-09-01,Deadhorse,70.1613,-148.4653,Frost Probe Transect or Grid & Borehole,,,0,Brown_etal_2000_calm,
1990-09-01,Deadhorse,70.1613,-148.4653,Frost Probe Transect or Grid & Borehole,,,0,Brown_etal_2000_calm,
1990-09-01,Deadhorse,70.1613,-148.4653,Frost Probe Transect or Grid & Borehole,64.0,64.0,1,Brown_etal_2000_calm,
1990-09-01,Deadhorse,70.1613,-148.4653,Frost Probe Transect or Grid & Borehole,65.0,65.0,1,Brown_etal_2000_calm,
1990-09-01,Deadhorse,70.1613,-148.4653,Frost Probe Transect or Grid & Borehole,70.0,70.0,1,Brown_etal_2000_calm,
