site_id,bonnaventure_point_type,pf_observed,lat,lon,source,date,pf_depth,thaw_depth,obs_limit,method,bonnaventure_published_site_count,bonnaventure_shared_site_count,bonnaventure_protocol_limit_cm,quality_flag_obs_limit_assumed,quality_flag_upper_bound_presence,quality_flag_date_assigned,quality_flag_date_source_approximate,quality_flag_model_or_estimate
PP92,WPT,0,63.14474903,-117.253056,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP93,WPT,1,63.16543599,-117.134618,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP94,WPT,1,63.16503701,-117.135617,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP95,WPT,1,63.16171098,-117.143576,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP96,WPT,1,63.16178299,-117.144065,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP97,WPT,1,63.16201198,-117.144111,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP98,WPT,1,63.16195498,-117.14499,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP99,WPT,0,63.16197502,-117.145554,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
WMC1,WPT,1,63.15103102,-117.260727,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
WMC2,WPT,0,63.16235396,-117.27025,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
WMC3,WPT,0,63.16695596,-117.21839,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
WMC4,WPT,0,63.159442,-117.171553,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
WMC5,WPT,0,63.14509998,-117.258792,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
WMC6,WPT,1,63.13026904,-117.233155,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
WMC7,WPT,1,63.129902,-117.25471,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
WWS1,WPT,0,63.17058097,-117.280475,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
WWS2,WPT,0,63.15152303,-117.222392,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
WWS3,WPT,1,63.17331699,-117.14464,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP10,WPT,0,63.15087503,-117.26376,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP126,WPT,0,63.15141499,-117.272999,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP129,WPT,0,63.14329301,-117.277056,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP17,WPT,0,63.15133503,-117.265843,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP49,WPT,0,63.13103297,-117.255109,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP76,WPT,0,63.14370104,-117.277281,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
