date,thaw_depth,pf_depth,obs_limit,pf_observed,transect_name,transect_point,lon,lat,source,site_id,method
2020-08-15,49.0,49.0,120,1,JS,12,-148.41893694756362,70.22884175221427,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,50.0,50.0,120,1,JS,13,-148.4189626348965,70.22884398154157,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,40.0,40.0,120,1,JS,14,-148.41898832223492,70.2288462108652,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,54.0,54.0,120,1,JS,15,-148.41901400957886,70.22884844018515,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,50.0,50.0,120,1,JS,16,-148.41903969692834,70.22885066950143,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,54.0,54.0,120,1,JS,17,-148.41906538428333,70.22885289881403,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,49.0,49.0,120,1,JS,18,-148.41909107164386,70.22885512812296,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,40.0,40.0,120,1,JS,19,-148.4191167590099,70.22885735742817,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,48.0,48.0,120,1,JS,20,-148.41914244638147,70.22885958672975,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,36.0,36.0,120,1,JS,21,-148.41916813375857,70.22886181602766,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,34.0,34.0,120,1,JS,22,-148.41919382114122,70.22886404532188,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,48.0,48.0,120,1,JS,23,-148.41921950852938,70.22886627461243,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,60.0,60.0,120,1,JS,24,-148.41924519592305,70.2288685038993,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,38.0,38.0,120,1,JS,25,-148.41927088332227,70.2288707331825,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,38.0,38.0,120,1,JS,26,-148.419296570727,70.22887296246205,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,38.0,38.0,120,1,JS,27,-148.41932225813727,70.22887519173787,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,52.0,52.0,120,1,JS,28,-148.41934794555306,70.22887742101004,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,45.0,45.0,120,1,JS,29,-148.41937363297436,70.22887965027856,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,49.0,49.0,120,1,JS,30,-148.4193993204012,70.22888187954335,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,52.0,52.0,120,1,JS,31,-148.4194250078336,70.22888410880451,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,50.0,50.0,120,1,JS,32,-148.41945069527148,70.22888633806197,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,52.0,52.0,120,1,JS,33,-148.41947638271492,70.22888856731576,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,40.0,40.0,120,1,JS,34,-148.41950207016384,70.22889079656589,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,35.0,35.0,120,1,JS,35,-148.4195277576183,70.22889302581234,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,35.0,35.0,120,1,JS,36,-148.41955344507835,70.22889525505511,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,35.0,35.0,120,1,JS,37,-148.41957913254387,70.22889748429422,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,49.0,49.0,120,1,JS,38,-148.4196048200149,70.22889971352963,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,38.0,38.0,120,1,JS,39,-148.4196305074915,70.22890194276135,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,40.0,40.0,120,1,JS,40,-148.41965619497358,70.22890417198943,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,41.0,41.0,120,1,JS,41,-148.41968188246125,70.22890640121382,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,49.0,49.0,120,1,JS,42,-148.4197075699544,70.22890863043455,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,34.0,34.0,120,1,JS,43,-148.4197332574531,70.22891085965159,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,45.0,45.0,120,1,JS,44,-148.4197589449573,70.22891308886496,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,37.0,37.0,120,1,JS,45,-148.41978463246704,70.22891531807463,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,42.0,42.0,120,1,JS,46,-148.4198103199823,70.22891754728066,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,50.0,50.0,120,1,JS,47,-148.4198360075031,70.22891977648301,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,50.0,50.0,120,1,JS,48,-148.4198616950294,70.22892200568167,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,55.0,55.0,120,1,JS,49,-148.41988738256126,70.22892423487664,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,58.0,58.0,120,1,JS,50,-148.41991307009863,70.22892646406798,Peirce_2020,Peirce_2020_JS,tp
2020-08-15,54.0,54.0,120,1,JS,51,-148.41993875764152,70.22892869325561,Peirce_2020,Peirce_2020_JS,tp
