Study site,Transect,Sample date,Distanc from start (m),Water depth (cm),Thaw depth (cm),Field notes
Colleen,T1,20200815,13,0,64,
Colleen,T1,20200815,14,0,65,
Colleen,T1,20200815,15,0,64,
Colleen,T1,20200815,16,0,65,
Colleen,T1,20200815,17,0,65,
Colleen,T1,20200815,18,0,64,
Colleen,T1,20200815,19,0,64,
Colleen,T1,20200815,20,0,65,
Colleen,T1,20200815,21,0,61,
Colleen,T1,20200815,22,0,55,
Colleen,T1,20200815,23,0,60,
Colleen,T1,20200815,24,0,59,
Colleen,T1,20200815,25,2,63,
Colleen,T1,20200815,26,27,48,
Colleen,T1,20200815,27,25,49,
Colleen,T1,20200815,28,25,40,
Colleen,T1,20200815,29,25,30,
Colleen,T1,20200815,30,1,63,
Colleen,T1,20200815,31,0,45,
Colleen,T1,20200815,32,0,63,
Colleen,T1,20200815,33,0,58,
Colleen,T1,20200815,34,0,58,
Colleen,T1,20200815,35,0,45,
Colleen,T1,20200815,36,0,47,
Colleen,T1,20200815,37,1,44,
Colleen,T1,20200815,38,17,42,
Colleen,T1,20200815,39,22,47,
Colleen,T1,20200815,40,1,55,
Colleen,T1,20200815,41,0,55,
Colleen,T1,20200815,42,0,47,
Colleen,T1,20200815,43,0,46,
Colleen,T1,20200815,44,0,49,
Colleen,T1,20200815,45,0,49,
Colleen,T1,20200815,46,0,59,
Colleen,T1,20200815,47,0,44,
Colleen,T1,20200815,48,0,45,
Colleen,T1,20200815,49,0,45,
Colleen,T1,20200815,50,0,49,
Colleen,T1,20200815,51,0,45,
Colleen,T1,20200815,52,0,54,
Colleen,T1,20200815,53,0,53,
Colleen,T1,20200815,54,0,55,
Colleen,T1,20200815,55,0,55,
Colleen,T1,20200815,56,0,57,
Colleen,T1,20200815,57,0,53,
Colleen,T1,20200815,58,0,50,
Colleen,T1,20200815,59,0,44,
Colleen,T1,20200815,60,0,55,
Colleen,T1,20200815,61,0,50,
Colleen,T1,20200815,62,0,55,
Colleen,T1,20200815,63,0,59,
Colleen,T1,20200815,64,0,59,
Colleen,T1,20200815,65,0,58,
Colleen,T1,20200815,66,0,50,
Colleen,T1,20200815,67,0,49,
Colleen,T1,20200815,68,0,46,
Colleen,T1,20200815,69,0,42,
Colleen,T1,20200815,70,0,40,
Colleen,T1,20200815,71,9,57,Pond Marcel
Colleen,T1,20200815,72,44,60,Pond Marcel
Colleen,T1,20200815,73,49,60,Pond Marcel
Colleen,T1,20200815,74,54,66,Pond Marcel
Colleen,T1,20200815,75,60,59,Pond Marcel
Colleen,T1,20200815,76,59,44,Pond Marcel
Colleen,T1,20200815,77,4,5,Pond Marcel
Colleen,T1,20200815,78,0,50,
Colleen,T1,20200815,79,0,35,
Colleen,T1,20200815,80,0,49,
Colleen,T1,20200815,81,0,49,
Colleen,T1,20200815,82,0,53,
Colleen,T1,20200815,83,0,47,
Colleen,T1,20200815,84,0,47,
Colleen,T1,20200815,85,0,44,
Colleen,T1,20200815,86,0,44,
Colleen,T1,20200815,87,0,43,
Colleen,T1,20200815,88,0,43,
Colleen,T1,20200815,89,0,42,
Colleen,T1,20200815,90,0,51,
Colleen,T1,20200815,91,0,55,
Colleen,T1,20200815,92,0,46,
Colleen,T1,20200815,93,19,46,
Colleen,T1,20200815,94,37,32,
Colleen,T1,20200815,95,26,42,
