lat,lon,date,source,site_id,pf_observed,pf_depth,obs_limit,thaw_depth,method,walker_thaw_depth_raw,distance_m
70.22233510868617,-148.4724914,2021-08-24,Walker_2022,Colleen_T2_82,1,56,,56,tp,56,82
70.22232712,-148.4725034,2021-08-24,Walker_2022,Colleen_T2_83,1,72,,72,tp,72,83
70.22231913565923,-148.4725154,2021-08-24,Walker_2022,Colleen_T2_84,1,90,,90,tp,90,84
70.22231114914455,-148.4725274,2021-08-24,Walker_2022,Colleen_T2_85,1,55,,55,tp,55,85
70.22230316262906,-148.4725394,2021-08-24,Walker_2022,Colleen_T2_86,1,48,,48,tp,48,86
70.22229517611275,-148.4725515,2021-08-24,Walker_2022,Colleen_T2_87,1,20,,20,tp,20,87
70.22228718959563,-148.4725635,2021-08-24,Walker_2022,Colleen_T2_88,1,38,,38,tp,38,88
70.22227920307772,-148.4725755,2021-08-24,Walker_2022,Colleen_T2_89,1,48,,48,tp,48,89
70.22227121655898,-148.4725875,2021-08-24,Walker_2022,Colleen_T2_90,1,63,,63,tp,63,90
70.22226323003943,-148.4725995,2021-08-24,Walker_2022,Colleen_T2_91,1,60,,60,tp,60,91
70.22225524351907,-148.4726115,2021-08-24,Walker_2022,Colleen_T2_92,1,77,,77,tp,77,92
70.22224725699792,-148.4726236,2021-08-24,Walker_2022,Colleen_T2_93,1,79,,79,tp,79,93
70.22223927047594,-148.4726356,2021-08-24,Walker_2022,Colleen_T2_94,1,74,,74,tp,74,94
70.22223128395315,-148.4726476,2021-08-24,Walker_2022,Colleen_T2_95,1,52,,52,tp,52,95
70.22222329742955,-148.4726596,2021-08-24,Walker_2022,Colleen_T2_96,1,53,,53,tp,53,96
70.22221531090514,-148.4726716,2021-08-24,Walker_2022,Colleen_T2_97,1,60,,60,tp,60,97
70.22220732437994,-148.4726836,2021-08-24,Walker_2022,Colleen_T2_98,1,59,,59,tp,59,98
70.22219933785391,-148.4726957,2021-08-24,Walker_2022,Colleen_T2_99,1,68,,68,tp,68,99
70.22219135132707,-148.4727077,2021-08-24,Walker_2022,Colleen_T2_100,1,56,,56,tp,56,100
70.22215141868074,-148.4727678,2021-08-24,Walker_2022,Colleen_T2_105,1,64,,64,tp,64,105
70.22211148601414,-148.4728278,2021-08-24,Walker_2022,Colleen_T2_110,1,68,,68,tp,68,110
70.22207155,-148.4728879,2021-08-24,Walker_2022,Colleen_T2_115,1,44,,44,tp,44,115
70.22203162062019,-148.472948,2021-08-24,Walker_2022,Colleen_T2_120,1,69,,69,tp,69,120
70.22199168789284,-148.4730081,2021-08-24,Walker_2022,Colleen_T2_125,1,77,,77,tp,77,125
70.22195175514523,-148.4730682,2021-08-24,Walker_2022,Colleen_T2_130,1,55,,55,tp,55,130
70.22191182237735,-148.4731282,2021-08-24,Walker_2022,Colleen_T2_135,1,53,,53,tp,53,135
70.22187188958924,-148.4731883,2021-08-24,Walker_2022,Colleen_T2_140,1,53,,53,tp,53,140
70.22183195678086,-148.4732484,2021-08-24,Walker_2022,Colleen_T2_145,1,51,,51,tp,51,145
70.22179202395223,-148.4733085,2021-08-24,Walker_2022,Colleen_T2_150,1,56,,56,tp,56,150
70.22175209110334,-148.4733686,2021-08-24,Walker_2022,Colleen_T2_155,1,55,,55,tp,55,155
70.22171216,-148.4734286,2021-08-24,Walker_2022,Colleen_T2_160,1,58,,58,tp,58,160
70.22167223,-148.4734887,2021-08-24,Walker_2022,Colleen_T2_165,1,60,,60,tp,60,165
70.22163229243516,-148.4735488,2021-08-24,Walker_2022,Colleen_T2_170,1,58,,58,tp,58,170
70.22159235950527,-148.4736089,2021-08-24,Walker_2022,Colleen_T2_175,1,53,,53,tp,53,175
70.22155243,-148.473669,2021-08-24,Walker_2022,Colleen_T2_180,1,46,,46,tp,46,180
70.22151249,-148.473729,2021-08-24,Walker_2022,Colleen_T2_185,1,55,,55,tp,55,185
