site_id,lat,lon,date,thaw_depth,pf_observed,source,method,langer_reported_ald_cm,obs_limit,pf_depth,quality_flag_obs_limit_assumed
215,70.223404,-148.471204,2019-07-20,58.0,1,Langer_etal_2020,tp,58.0,,58.0,False
216,70.223452,-148.470699,2018-08-03,51.0,1,Langer_etal_2020,tp,51.0,,51.0,False
216,70.223452,-148.470699,2019-07-20,50.0,1,Langer_etal_2020,tp,50.0,,50.0,False
217,70.223401,-148.47065,2018-08-03,53.0,1,Langer_etal_2020,tp,53.0,,53.0,False
217,70.223401,-148.47065,2019-07-20,48.0,1,Langer_etal_2020,tp,48.0,,48.0,False
218,70.223312,-148.4707,2018-08-03,56.0,1,Langer_etal_2020,tp,56.0,,56.0,False
218,70.223312,-148.4707,2019-07-20,58.0,1,Langer_etal_2020,tp,58.0,,58.0,False
219,70.223203,-148.47067,2018-08-03,54.0,1,Langer_etal_2020,tp,54.0,,54.0,False
219,70.223203,-148.47067,2019-07-20,47.0,1,Langer_etal_2020,tp,47.0,,47.0,False
220,70.223059,-148.470643,2018-08-03,59.0,1,Langer_etal_2020,tp,59.0,,59.0,False
220,70.223059,-148.470643,2019-07-20,59.0,1,Langer_etal_2020,tp,59.0,,59.0,False
221,70.20393057,-148.4590206,2019-07-20,80.0,1,Langer_etal_2020,tp,80.0,,80.0,False
222,70.20401051,-148.4590951,2019-07-20,66.0,1,Langer_etal_2020,tp,66.0,,66.0,False
223,70.20403594,-148.4591203,2019-07-20,56.0,1,Langer_etal_2020,tp,56.0,,56.0,False
224,70.20406609,-148.4591507,2019-07-20,61.0,1,Langer_etal_2020,tp,61.0,,61.0,False
225,70.2041532,-148.4592319,2019-07-20,60.0,1,Langer_etal_2020,tp,60.0,,60.0,False
226,70.20423681,-148.4593489,2019-07-20,39.0,1,Langer_etal_2020,tp,39.0,,39.0,False
227,70.20424903,-148.4593788,2019-07-20,52.0,1,Langer_etal_2020,tp,52.0,,52.0,False
229,70.20414154,-148.459675,2019-07-20,50.0,1,Langer_etal_2020,tp,50.0,,50.0,False
230,70.20405611,-148.4595817,2019-07-20,57.0,1,Langer_etal_2020,tp,57.0,,57.0,False
231,70.20396873,-148.4594915,2019-07-20,57.0,1,Langer_etal_2020,tp,57.0,,57.0,False
232,70.20389896,-148.4594566,2019-07-20,73.0,1,Langer_etal_2020,tp,73.0,,73.0,False
233,70.20405409,-148.4598457,2019-07-20,48.0,1,Langer_etal_2020,tp,48.0,,48.0,False
234,70.20405653,-148.4594133,2019-07-20,55.0,1,Langer_etal_2020,tp,55.0,,55.0,False
235,70.20407457,-148.4593713,2019-07-20,65.0,1,Langer_etal_2020,tp,65.0,,65.0,False
236,70.20410151,-148.4590164,2019-07-20,56.0,1,Langer_etal_2020,tp,56.0,,56.0,False
237,70.20410018,-148.4589435,2019-07-20,53.0,1,Langer_etal_2020,tp,53.0,,53.0,False
238,70.20404535,-148.4591342,2019-07-20,66.0,1,Langer_etal_2020,tp,66.0,,66.0,False
239,70.20401997,-148.4591147,2019-07-20,60.0,1,Langer_etal_2020,tp,60.0,,60.0,False
240,70.20397644,-148.4590656,2019-07-20,65.0,1,Langer_etal_2020,tp,65.0,,65.0,False
241,70.09919754,-148.5120762,2018-08-04,80.0,1,Langer_etal_2020,tp,80.0,,80.0,False
241,70.09919754,-148.5120762,2019-07-20,79.0,1,Langer_etal_2020,tp,79.0,,79.0,False
242,70.09922616,-148.5123121,2018-08-04,60.0,1,Langer_etal_2020,tp,60.0,,60.0,False
242,70.09922616,-148.5123121,2019-07-20,57.0,1,Langer_etal_2020,tp,57.0,,57.0,False
243,70.09927101,-148.5128278,2018-08-04,53.0,1,Langer_etal_2020,tp,53.0,,53.0,False
243,70.09927101,-148.5128278,2019-07-20,48.0,1,Langer_etal_2020,tp,48.0,,48.0,False
244,70.09949839,-148.513873,2018-08-04,55.0,1,Langer_etal_2020,tp,55.0,,55.0,False
244,70.09949839,-148.513873,2019-07-20,46.0,1,Langer_etal_2020,tp,46.0,,46.0,False
245,70.0998658,-148.5155303,2018-08-04,50.0,1,Langer_etal_2020,tp,50.0,,50.0,False
245,70.0998658,-148.5155303,2019-07-20,31.0,1,Langer_etal_2020,tp,31.0,,31.0,False
246,70.10000326,-148.5161667,2018-08-04,55.0,1,Langer_etal_2020,tp,55.0,,55.0,False
246,70.10000326,-148.5161667,2019-07-20,55.0,1,Langer_etal_2020,tp,55.0,,55.0,False
247,70.10008675,-148.5163851,2018-08-04,48.0,1,Langer_etal_2020,tp,48.0,,48.0,False
247,70.10008675,-148.5163851,2019-07-20,46.0,1,Langer_etal_2020,tp,46.0,,46.0,False
248,70.1001258,-148.5166579,2018-08-04,50.0,1,Langer_etal_2020,tp,50.0,,50.0,False
248,70.1001258,-148.5166579,2019-07-20,47.0,1,Langer_etal_2020,tp,47.0,,47.0,False
249,70.10016058,-148.5169047,2018-08-04,54.0,1,Langer_etal_2020,tp,54.0,,54.0,False
249,70.10016058,-148.5169047,2019-07-20,48.0,1,Langer_etal_2020,tp,48.0,,48.0,False
250,70.10025953,-148.5174722,2018-08-04,43.0,1,Langer_etal_2020,tp,43.0,,43.0,False
251,70.1007937,-148.5159176,2018-08-04,46.0,1,Langer_etal_2020,tp,46.0,,46.0,False
252,70.10080415,-148.5159117,2018-08-04,36.0,1,Langer_etal_2020,tp,36.0,,36.0,False
