date,site,stake,depth,flag,hit_type,crew,notes
9/19/2007,SL1B,9,85,G,,,
9/19/2007,SL1B,10,65,G,,,
9/19/2007,SL1B,11,113,G,,,
9/19/2007,SL1B,12,115,G,,,
9/19/2007,SL1B,13,70,G,,,
9/19/2007,SL1B,14,88,G,,,
9/19/2007,SL1B,15,53,G,,,
9/19/2007,SL1B,16,97,G,,,
9/19/2007,SL1B,17,61,G,,,
9/19/2007,SL1B,18,82,G,,,
9/19/2007,SL1B,19,63,G,,,
9/19/2007,SL1B,20,110,G,,,
9/24/2008,SL1B,1,80,G,,,
9/24/2008,SL1B,2,77,G,,,
9/24/2008,SL1B,3,75,G,,,
9/24/2008,SL1B,4,72,G,,,
9/24/2008,SL1B,5,45,G,,,
9/24/2008,SL1B,6,72,G,,,
9/24/2008,SL1B,7,107,G,,,
9/24/2008,SL1B,8,60,G,,,
9/24/2008,SL1B,9,85,G,,,
9/24/2008,SL1B,10,75,G,,,
9/24/2008,SL1B,11,123,G,,,
9/24/2008,SL1B,12,97,G,,,
9/24/2008,SL1B,13,112,G,,,
9/24/2008,SL1B,14,73,G,,,
9/24/2008,SL1B,15,68,G,,,
9/24/2008,SL1B,16,93,G,,,
9/24/2008,SL1B,17,65,G,,,
9/24/2008,SL1B,18,78,G,,,
9/24/2008,SL1B,19,78,G,,,
9/24/2008,SL1B,20,70,G,,,
9/24/2009,SL1B,1,97,G,,,
9/24/2009,SL1B,2,54,G,,,
9/24/2009,SL1B,3,63,G,,,
9/24/2009,SL1B,4,53,G,,,
9/24/2009,SL1B,5,57,G,,,
9/24/2009,SL1B,6,75,G,,,
9/24/2009,SL1B,7,85,G,,,
9/24/2009,SL1B,8,45,G,,,
9/24/2009,SL1B,9,62,G,,,
9/24/2009,SL1B,10,87,G,,,
9/24/2009,SL1B,11,67,G,,,
9/24/2009,SL1B,12,46,G,,,
9/24/2009,SL1B,13,104,G,,,
9/24/2009,SL1B,14,49,G,,,
9/24/2009,SL1B,15,82,G,,,
9/24/2009,SL1B,16,75,G,,,
9/24/2009,SL1B,17,99,G,,,
9/24/2009,SL1B,18,38,G,,,
9/24/2009,SL1B,19,85,G,,,
9/24/2009,SL1B,20,69,G,,,
9/27/2010,SL1B,1,70,G,,,
9/27/2010,SL1B,2,66,G,,,
9/27/2010,SL1B,3,62,G,,,
9/27/2010,SL1B,4,71,G,,,
9/27/2010,SL1B,5,64,G,,,
9/27/2010,SL1B,6,62,G,,,
9/27/2010,SL1B,7,100,G,,,
9/27/2010,SL1B,8,50,G,,,
9/27/2010,SL1B,9,68,G,,,
9/27/2010,SL1B,10,74,G,,,
9/27/2010,SL1B,11,119,G,,,
9/27/2010,SL1B,12,94,G,,,
9/27/2010,SL1B,13,108,G,,,
9/27/2010,SL1B,14,66,G,,,
9/27/2010,SL1B,15,71,G,,,
9/27/2010,SL1B,16,91,G,,,
9/27/2010,SL1B,17,94,G,,,
9/27/2010,SL1B,18,48,G,,,
9/27/2010,SL1B,19,77,G,,,
9/27/2010,SL1B,20,64,G,,,
9/21/2011,SL1B,1,79,G,,,
9/21/2011,SL1B,2,61,G,,,
9/21/2011,SL1B,3,66,G,,,
9/21/2011,SL1B,4,62,G,,,
9/21/2011,SL1B,5,58,G,,,
9/21/2011,SL1B,6,64,G,,,
9/21/2011,SL1B,7,99,G,,,
9/21/2011,SL1B,8,48,G,,,
9/21/2011,SL1B,9,79,G,,,
