site_id,date,lat,lon,thaw_depth,method,source,quality_flag_date_assigned,gpr_native_count,gpr_aggregation_spacing_m,quality_flag_summary_statistic,pf_observed,pf_depth,obs_limit
BS,2013-08-12,71.25269773333333,-156.55153553333332,42.86313333333333,gp,Jafarov_2016,True,15,5.0,True,1,42.86313333333333,
BS,2013-08-12,71.25265368421053,-156.5515336842105,42.53354210526316,gp,Jafarov_2016,True,19,5.0,True,1,42.53354210526316,
BS,2013-08-12,71.25260995,-156.5515431,41.71598,gp,Jafarov_2016,True,20,5.0,True,1,41.71598,
BS,2013-08-12,71.25256583333334,-156.55155016666666,42.49725,gp,Jafarov_2016,True,18,5.0,True,1,42.49725,
BS,2013-08-12,71.25251989473685,-156.55156147368422,43.300689473684216,gp,Jafarov_2016,True,19,5.0,True,1,43.300689473684216,
BS,2013-08-12,71.25247413333334,-156.5515694,42.071373333333334,gp,Jafarov_2016,True,15,5.0,True,1,42.071373333333334,
BS,2013-08-12,71.2524285,-156.5515597142857,41.220485714285715,gp,Jafarov_2016,True,14,5.0,True,1,41.220485714285715,
BS,2013-08-12,71.2523845,-156.551556125,40.65653125,gp,Jafarov_2016,True,16,5.0,True,1,40.65653125,
BS,2013-08-12,71.25234099999999,-156.5515510666667,42.19732,gp,Jafarov_2016,True,15,5.0,True,1,42.19732,
BS,2013-08-12,71.25229338461538,-156.55154207692308,42.39804615384616,gp,Jafarov_2016,True,13,5.0,True,1,42.39804615384616,
BS,2013-08-12,71.25226257142857,-156.55153485714285,43.881128571428576,gp,Jafarov_2016,True,7,5.0,True,1,43.881128571428576,
BS,2013-08-12,71.2522395,-156.55152089999999,39.975010000000005,gp,Jafarov_2016,True,10,5.0,True,1,39.975010000000005,
BS,2013-08-12,71.25220366666666,-156.55152266666667,43.78686111111111,gp,Jafarov_2016,True,18,5.0,True,1,43.78686111111111,
BS,2013-08-12,71.252181,-156.551535,44.626599999999996,gp,Jafarov_2016,True,3,5.0,True,1,44.626599999999996,
BS,2013-08-12,71.25216195833333,-156.55155541666667,44.60413333333333,gp,Jafarov_2016,True,24,5.0,True,1,44.60413333333333,
BS,2013-08-12,71.2521215,-156.55162245833333,44.255475,gp,Jafarov_2016,True,24,5.0,True,1,44.255475,
BS,2013-08-12,71.25208163636363,-156.55167581818182,46.965890909090916,gp,Jafarov_2016,True,11,5.0,True,1,46.965890909090916,
BS,2013-08-12,71.25205885714286,-156.55171114285713,46.54172857142857,gp,Jafarov_2016,True,7,5.0,True,1,46.54172857142857,
BS,2013-08-12,71.25203074999999,-156.55178404999998,45.9807,gp,Jafarov_2016,True,20,5.0,True,1,45.9807,
BS,2013-08-12,71.25198538461538,-156.55186423076924,44.308246153846156,gp,Jafarov_2016,True,13,5.0,True,1,44.308246153846156,
