File name: prb_gpr_alt_hd.csv,,,,,,,,,,,,,,
Missing value code: Missing data are represented as -999,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
site_ID,lat_prb,lon_prb,alt_prb,unc_alt_prb,lat_gpr,lon_gpr,owtt,velocity,unc_vel,cv_vel,alt_gpr,unc_alt_gpr,vwc,unc_vwc
,,,m,m,,,ns,m/ns,m/ns,m/ns,m,m,,
BS_HD_1,71.261668,-156.617471,0.47,0.03,71.261646,-156.61533,12.662672,0.037117,0.006259,0.160817,0.488663,0.078585,0.729262,0.117278
BS_HD_1,71.261667,-156.617444,0.46,0.03,71.261646,-156.61533,12.561775,0.036619,0.006175,0.160817,0.484769,0.077959,0.744317,0.119699
BS_HD_1,71.261666,-156.617418,0.49,0.03,71.261646,-156.61533,12.511326,0.039165,0.006604,0.160817,0.482822,0.077646,0.678513,0.109116
BS_HD_1,71.261663,-156.617392,0.48,0.03,71.261646,-156.61533,12.814019,0.037459,0.006317,0.160817,0.494503,0.079525,0.719644,0.115731
BS_HD_1,71.261663,-156.617365,0.52,0.03,71.261646,-156.61533,13.015815,0.039951,0.006737,0.160817,0.502291,0.080777,0.662438,0.106531
BS_HD_1,71.261662,-156.617339,0.47,0.03,71.261646,-156.61533,13.268059,0.035423,0.005973,0.160817,0.512025,0.082342,0.786757,0.126524
BS_HD_1,71.261662,-156.617312,0.46,0.03,71.261646,-156.61533,13.520304,0.034023,0.005737,0.160817,0.52176,0.083908,0.852141,0.137039
BS_HD_1,71.261662,-156.617286,0.48,0.03,71.261646,-156.61533,13.520304,0.035502,0.005987,0.160817,0.52176,0.083908,0.78364,0.126023
BS_HD_1,71.261662,-156.61726,0.47,0.03,71.261646,-156.61533,13.318508,0.035289,0.005951,0.160817,0.513972,0.082655,0.792188,0.127397
BS_HD_1,71.261662,-156.617233,0.48,0.03,71.261646,-156.61533,13.116713,0.036595,0.006171,0.160817,0.506185,0.081403,0.745092,0.119824
BS_HD_1,71.261659,-156.617207,0.48,0.03,71.261646,-156.61533,13.015815,0.036878,0.006219,0.160817,0.502291,0.080777,0.736316,0.118412
BS_HD_1,71.261657,-156.617181,0.47,0.03,71.261646,-156.61533,12.965367,0.03625,0.006113,0.160817,0.500344,0.080464,0.756369,0.121637
BS_HD_1,71.261655,-156.617154,0.48,0.03,71.261646,-156.61533,12.965367,-999,-999,0.160817,0.500344,-999,-999,-999
BS_HD_1,71.261655,-156.617128,0.47,0.03,71.261646,-156.61533,13.066263,0.03597,0.006066,0.160817,0.504238,0.08109,0.766101,0.123202
BS_HD_1,71.261655,-156.617101,0.46,0.03,71.261646,-156.61533,12.965367,0.035479,0.005983,0.160817,0.500344,0.080464,0.784546,0.126168
BS_HD_1,71.261654,-156.617075,0.45,0.03,71.261646,-156.61533,12.662672,0.035538,0.005993,0.160817,0.488663,0.078585,0.782257,0.1258
BS_HD_1,71.261653,-156.617049,0.46,0.03,71.261646,-156.61533,12.410428,0.037066,0.00625,0.160817,0.478929,0.07702,0.730755,0.117518
BS_HD_1,71.261655,-156.617022,0.5,0.03,71.261646,-156.61533,12.35998,0.040453,0.006821,0.160817,0.476982,0.076707,0.652895,0.104997
BS_HD_1,71.261655,-156.616996,0.54,0.03,71.261646,-156.61533,12.35998,-999,-999,0.160817,0.476982,-999,-999,-999
