site_id,date,lat,lon,thaw_depth,pf_observed,pf_depth,method,obs_limit,org_thick,source
JG-C48,08/02/2018,70.18389,-147.99722,31.0,1,31.0,unknown,156.0,19.0,Jorgenson_Kanevskiy_2022_Jago
JG-C49,08/02/2018,70.21583,-147.98806,30.0,1,30.0,unknown,317.0,268.0,Jorgenson_Kanevskiy_2022_Jago
JG-JR1,08/13/2009,70.21778,-148.02389,,1,,unknown,270.0,19.0,Jorgenson_Kanevskiy_2022_Jago
JG-JR2,08/13/2009,70.025,-147.74222,,1,,unknown,200.0,20.0,Jorgenson_Kanevskiy_2022_Jago
JG-JR3,08/13/2009,70.04167,-147.70083,,1,,unknown,300.0,15.0,Jorgenson_Kanevskiy_2022_Jago
JG-MS1,08/12/2009,70.14083,-147.65667,32.0,1,32.0,unknown,250.0,17.0,Jorgenson_Kanevskiy_2022_Jago
JG-TT1,08/10/2009,70.17222,-147.65583,31.0,1,31.0,unknown,110.0,16.0,Jorgenson_Kanevskiy_2022_Jago
JG-TT1b,08/10/2009,69.8814,-142.2758,31.0,1,31.0,unknown,250.0,17.0,Jorgenson_Kanevskiy_2022_Jago
JG-TT2,08/12/2009,62.48338,-144.7266,32.0,1,32.0,unknown,100.0,13.0,Jorgenson_Kanevskiy_2022_Jago
JG-TT3,07/29/2011,69.74686,-143.60722,23.0,1,23.0,unknown,23.0,18.0,Jorgenson_Kanevskiy_2022_Jago
JG-UD1,07/29/2018,69.74709,-143.60337,45.0,1,45.0,unknown,72.0,32.0,Jorgenson_Kanevskiy_2022_Jago
JG-UD2,07/29/2018,69.74704,-143.60582,28.0,1,28.0,unknown,66.0,20.0,Jorgenson_Kanevskiy_2022_Jago
JG-UD3,07/29/2018,70.19389,-147.65667,33.0,1,33.0,unknown,72.0,21.0,Jorgenson_Kanevskiy_2022_Jago
JG-C40,08/01/2018,70.03083,-148.19472,33.0,1,33.0,unknown,85.0,23.0,Jorgenson_Kanevskiy_2022_Jago
JG-MS1,08/01/2018,70.2425,-148.26306,36.0,1,36.0,unknown,257.0,22.0,Jorgenson_Kanevskiy_2022_Jago
JG-PT1,07/30/2018,70.08083,-148.25444,,1,,unknown,,,Jorgenson_Kanevskiy_2022_Jago
JG-TT1,07/30/2014,70.08889,-148.22333,38.0,1,38.0,unknown,,,Jorgenson_Kanevskiy_2022_Jago
JG-TT2,07/30/2014,70.24095,-148.20808,37.0,1,37.0,unknown,,,Jorgenson_Kanevskiy_2022_Jago
JG-TT3,07/30/2014,70.10972,-148.63278,27.0,1,27.0,unknown,,,Jorgenson_Kanevskiy_2022_Jago
JG-TT3,07/27/2016,70.06278,-148.46722,33.0,1,33.0,unknown,,,Jorgenson_Kanevskiy_2022_Jago
JG-TT2,07/29/2018,70.10139,-148.99972,29.0,1,29.0,unknown,,,Jorgenson_Kanevskiy_2022_Jago
JG-TT1,07/29/2018,70.5756,-152.53778,27.0,1,27.0,unknown,,,Jorgenson_Kanevskiy_2022_Jago
JG-DI2,07/30/2011,70.49579,-151.73306,41.0,1,41.0,unknown,41.0,21.0,Jorgenson_Kanevskiy_2022_Jago
JG-DI2,07/29/2016,70.43465,-151.61695,41.0,1,41.0,unknown,,,Jorgenson_Kanevskiy_2022_Jago
JG-DI3,07/30/2011,70.41146,-151.0734,41.0,1,41.0,unknown,41.0,28.0,Jorgenson_Kanevskiy_2022_Jago
