FID,SiteID,DataType,Date,Lon_WGS84,Lat_WGS84,x_UTMz6N,y_UTMz6N,Altitude,ALT,OLT,Vegetation,Comments,xERT_plan,xERT_true
130,Vault lake,ERT,20210914,-147.6993316,65.02943664,467058.68,7211917.49,225.48,-9999,-9999,-9999,inerpolated,92,91.94
131,Vault lake,ERT,20210914,-147.6993282,65.02945524,467058.86,7211919.56,225.48,-9999,-9999,-9999,inerpolated,94,94.02
132,Vault lake,ERT,20210914,-147.6993249,65.02947391,467059.04,7211921.64,225.48,-9999,-9999,-9999,inerpolated,96,96.1
133,Vault lake,ERT,20210914,-147.6993216,65.0294925,467059.22,7211923.71,225.48,-9999,-9999,-9999,inerpolated,98,98.19
134,Vault lake,ERT,20210914,-147.6993182,65.0295111,467059.4,7211925.78,225.48,-9999,-9999,-9999,inerpolated,100,100.27
135,Vault lake,ERT,20210914,-147.6993147,65.02952978,467059.59,7211927.86,225.48,-9999,-9999,-9999,inerpolated,102,102.35
136,Vault lake,ERT,20210914,-147.6993113,65.02954837,467059.77,7211929.93,225.48,-9999,-9999,-9999,inerpolated,104,104.43
137,Vault lake,ERT,20210914,-147.699308,65.02956705,467059.95,7211932.01,225.48,-9999,-9999,-9999,inerpolated,106,106.51
138,Vault lake,ERT,20210914,-147.6993047,65.02958564,467060.13,7211934.08,225.48,-9999,-9999,-9999,inerpolated,108,108.6
139,Vault lake,ERT,20210914,-147.6993014,65.02960432,467060.31,7211936.16,225.48,-9999,-9999,-9999,inerpolated,110,110.68
140,Vault lake,ERT,20210914,-147.699298,65.02962291,467060.49,7211938.23,225.48,-9999,-9999,-9999,inerpolated,112,112.76
141,Vault lake,ERT,20210914,-147.6992947,65.0296415,467060.67,7211940.3,225.48,-9999,-9999,-9999,inerpolated,114,114.84
142,Vault lake,ERT,20210914,-147.6992913,65.02966018,467060.85,7211942.38,225.48,-9999,-9999,-9999,inerpolated,116,116.93
143,Vault lake,ERT,20210914,-147.699288,65.02967877,467061.03,7211944.45,225.48,-9999,-9999,-9999,inerpolated,118,119.01
144,Vault lake,ERT,20210914,-147.6992847,65.02969745,467061.21,7211946.53,225.48,-9999,-9999,-9999,inerpolated,120,121.09
145,Vault lake,ERT,20210914,-147.6992811,65.02971604,467061.4,7211948.6,225.48,-9999,-9999,-9999,inerpolated,122,123.17
146,Vault lake,ERT,20210914,-147.6992778,65.02973472,467061.58,7211950.68,225.48,-9999,-9999,-9999,inerpolated,124,125.25
147,Vault lake,ERT,20210914,-147.6992745,65.02975331,467061.76,7211952.75,225.48,-9999,-9999,-9999,inerpolated,126,127.34
148,Vault lake,ERT,20210914,-147.6992711,65.02977199,467061.94,7211954.83,225.48,-9999,-9999,-9999,inerpolated,128,129.42
149,Vault lake,ERT,20210914,-147.6992678,65.02979058,467062.12,7211956.9,225.48,-9999,-9999,-9999,inerpolated,130,131.5
