site_id,date,lat,lon,thaw_depth,pf_observed,pf_depth,obs_limit,method,source,site_name,transect_name,transect_point,natali_source_thaw_depth_cm,natali_notes,natali_coordinate_source,quality_flag_coord_lookup_or_interpolated,quality_flag_source_unit_or_code_recoded,quality_flag_refusal_or_obstruction_note
Natali_2023_NCU_OLD_T1_L11,2016-08-10,65.34022986666666,-146.92025903333334,43.0,1,43.0,,tp,Natali_2023,Nome Creek Unburned - Old,1,11,43.0,,interpolated_transect,True,False,False
Natali_2023_NCU_OLD_T1_L12,2016-08-10,65.3402384,-146.9202644,41.0,1,41.0,,tp,Natali_2023,Nome Creek Unburned - Old,1,12,41.0,,interpolated_transect,True,False,False
Natali_2023_NCU_OLD_T1_L13,2016-08-10,65.34024693333333,-146.92026976666668,32.0,1,32.0,,tp,Natali_2023,Nome Creek Unburned - Old,1,13,32.0,,interpolated_transect,True,False,False
Natali_2023_NCU_OLD_T1_L14,2016-08-10,65.34025546666666,-146.92027513333335,31.0,1,31.0,,tp,Natali_2023,Nome Creek Unburned - Old,1,14,31.0,,interpolated_transect,True,False,False
Natali_2023_NCU_OLD_T1_L15,2016-08-10,65.34026399999999,-146.9202805,37.0,1,37.0,,tp,Natali_2023,Nome Creek Unburned - Old,1,15,37.0,,interpolated_transect,True,False,False
Natali_2023_NCU_OLD_T1_L16,2016-08-10,65.34027253333333,-146.92028586666666,34.0,1,34.0,,tp,Natali_2023,Nome Creek Unburned - Old,1,16,34.0,,interpolated_transect,True,False,False
Natali_2023_NCU_OLD_T1_L17,2016-08-10,65.34028106666666,-146.92029123333333,47.0,1,47.0,,tp,Natali_2023,Nome Creek Unburned - Old,1,17,47.0,,interpolated_transect,True,False,False
Natali_2023_NCU_OLD_T1_L18,2016-08-10,65.34028959999999,-146.9202966,39.0,1,39.0,,tp,Natali_2023,Nome Creek Unburned - Old,1,18,39.0,,interpolated_transect,True,False,False
Natali_2023_NCU_OLD_T1_L19,2016-08-10,65.34029813333333,-146.92030196666667,46.0,1,46.0,,tp,Natali_2023,Nome Creek Unburned - Old,1,19,46.0,,interpolated_transect,True,False,False
Natali_2023_NCU_OLD_T1_L20,2016-08-10,65.34030666666666,-146.92030733333334,49.0,1,49.0,,tp,Natali_2023,Nome Creek Unburned - Old,1,20,49.0,,interpolated_transect,True,False,False
Natali_2023_NCU_OLD_T1_L21,2016-08-10,65.34031519999999,-146.9203127,33.0,1,33.0,,tp,Natali_2023,Nome Creek Unburned - Old,1,21,33.0,,interpolated_transect,True,False,False
Natali_2023_NCU_OLD_T1_L22,2016-08-10,65.34032373333334,-146.92031806666668,52.0,1,52.0,,tp,Natali_2023,Nome Creek Unburned - Old,1,22,52.0,,interpolated_transect,True,False,False
Natali_2023_NCU_OLD_T1_L23,2016-08-10,65.34033226666666,-146.92032343333335,44.0,1,44.0,,tp,Natali_2023,Nome Creek Unburned - Old,1,23,44.0,,interpolated_transect,True,False,False
Natali_2023_NCU_OLD_T1_L24,2016-08-10,65.34034079999999,-146.92032880000002,35.0,1,35.0,,tp,Natali_2023,Nome Creek Unburned - Old,1,24,35.0,,interpolated_transect,True,False,False
Natali_2023_NCU_OLD_T1_L25,2016-08-10,65.34034933333332,-146.9203341666667,48.0,1,48.0,,tp,Natali_2023,Nome Creek Unburned - Old,1,25,48.0,,interpolated_transect,True,False,False
Natali_2023_NCU_OLD_T1_L26,2016-08-10,65.34035786666666,-146.92033953333333,42.0,1,42.0,,tp,Natali_2023,Nome Creek Unburned - Old,1,26,42.0,,interpolated_transect,True,False,False
Natali_2023_NCU_OLD_T1_L27,2016-08-10,65.3403664,-146.9203449,36.0,1,36.0,,tp,Natali_2023,Nome Creek Unburned - Old,1,27,36.0,,interpolated_transect,True,False,False
Natali_2023_NCU_OLD_T1_L28,2016-08-10,65.34037493333332,-146.92035026666667,38.0,1,38.0,,tp,Natali_2023,Nome Creek Unburned - Old,1,28,38.0,,interpolated_transect,True,False,False
Natali_2023_NCU_OLD_T1_L29,2016-08-10,65.34038346666667,-146.92035563333334,42.0,1,42.0,,tp,Natali_2023,Nome Creek Unburned - Old,1,29,42.0,,interpolated_transect,True,False,False
Natali_2023_NCU_OLD_T1_L30,2016-08-10,65.340392,-146.920361,45.0,1,45.0,,tp,Natali_2023,Nome Creek Unburned - Old,1,30,45.0,,source_endpoint,False,False,False
Natali_2023_NCU_OLD_T2_L0,2016-08-10,65.34021,-146.91988,50.0,1,50.0,,tp,Natali_2023,Nome Creek Unburned - Old,2,0,50.0,,source_endpoint,False,False,False
Natali_2023_NCU_OLD_T2_L1,2016-08-10,65.34021963333333,-146.9198878,37.0,1,37.0,,tp,Natali_2023,Nome Creek Unburned - Old,2,1,37.0,,interpolated_transect,True,False,False
Natali_2023_NCU_OLD_T2_L2,2016-08-10,65.34022926666667,-146.91989560000002,39.0,1,39.0,,tp,Natali_2023,Nome Creek Unburned - Old,2,2,39.0,,interpolated_transect,True,False,False
Natali_2023_NCU_OLD_T2_L3,2016-08-10,65.3402389,-146.9199034,44.0,1,44.0,,tp,Natali_2023,Nome Creek Unburned - Old,2,3,44.0,,interpolated_transect,True,False,False
