lon,lat,date,pf_depth,pf_observed,thaw_depth,obs_limit,site_id,transect_direction,source,comments,method
-148.825383,69.041928,2018-08-23,58,1,58,,ICC,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,63,1,63,,ICC,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,50,1,50,,ICC,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,43,1,43,,ICC,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,42,1,42,,ICC,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,50,1,50,,ICC,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,32,1,32,,ICC,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,58,1,58,,ICC,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,53,1,53,,ICC,NW-SE,Bakian_Dogaheh_2020,,tp/pit
-148.825383,69.041928,2018-08-23,45,1,45,,ICC,NW-SE,Bakian_Dogaheh_2020,,tp/pit
