site_id,lat,lon,date,org_thick,thaw_depth,pf_depth,pf_observed,obs_limit,method,source
NOAT-GT1-E4,67.92,-161.96,2010-07-23,,45.0,60.0,1,300.0,aug_pit,Jorgenson_Kanevskiy_2025
NOAT-GT2-E1,67.94,-162.35,2010-07-21,,63.0,63.0,1,600.0,aug_pit,Jorgenson_Kanevskiy_2025
NOAT-GT2-E2,67.94,-162.35,2010-07-22,,51.0,51.0,1,334.0,aug_pit,Jorgenson_Kanevskiy_2025
NOAT-GT2-G1,67.94,-162.35,2010-07-22,,30.0,,0,30.0,aug_pit,Jorgenson_Kanevskiy_2025
NOAT-GT2-G2,67.94,-162.35,2010-07-22,,40.0,,0,40.0,aug_pit,Jorgenson_Kanevskiy_2025
NOAT-OK2-E1,68.03,-159.29,2010-07-24,,35.0,35.0,1,310.0,aug_pit,Jorgenson_Kanevskiy_2025
NOAT-OK2-E2,68.03,-159.29,2010-07-24,15.0,80.0,80.0,1,750.0,aug_pit,Jorgenson_Kanevskiy_2025
NOAT-OK2-E4,68.03,-159.29,2010-07-24,,40.0,,0,40.0,aug_pit,Jorgenson_Kanevskiy_2025
NOAT-OK2-E7,68.03,-159.29,2010-07-24,15.0,30.0,30.0,1,300.0,aug_pit,Jorgenson_Kanevskiy_2025
NOAT-SLOP-E1,67.92,-161.41,2010-07-20,,65.0,65.0,1,270.0,aug_pit,Jorgenson_Kanevskiy_2025
NOAT-WOCR-E1,67.73,-161.4,2010-07-23,,60.0,,0,140.0,aug_pit,Jorgenson_Kanevskiy_2025
Nolan-Asp,67.43,-150.12,2007-07-08,2.0,140.0,,0,140.0,aug_pit,Jorgenson_Kanevskiy_2025
OMK1,70.0,-156.22,2019-04-30,,52.0,59.0,1,125.0,aug_pit,Jorgenson_Kanevskiy_2025
OMK2,70.0,-156.27,2019-05-01,,65.0,70.0,1,123.0,aug_pit,Jorgenson_Kanevskiy_2025
OMK3,69.99,-156.24,2019-05-01,,53.0,61.0,1,140.0,aug_pit,Jorgenson_Kanevskiy_2025
OMK4,69.99,-156.25,2019-05-01,,53.0,56.0,1,105.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-DA1,70.22,-148.42,2011-06-09,9.0,50.0,50.0,1,200.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-DA1B,70.22,-148.42,2011-06-09,19.0,49.0,49.0,1,200.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-DA2,70.22,-148.42,2011-06-09,18.0,49.0,49.0,1,200.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-DA3,70.22,-148.42,2011-06-09,,51.0,51.0,1,200.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-DI1,70.22,-148.42,2011-06-09,20.0,36.0,36.0,1,200.0,aug_pit,Jorgenson_Kanevskiy_2025
PB-DI2,70.22,-148.42,2011-06-09,47.0,36.0,47.0,1,200.0,aug_pit,Jorgenson_Kanevskiy_2025
