site_id,date,lat,lon,thaw_depth,pf_observed,pf_depth,method,obs_limit,source
LCP_2024_111.0,07/21/2024,70.73351949,-153.8554239,30.0,1,,tp,100,Jones_Jones_2025
LCP_2024_112.0,07/21/2024,70.73352967,-153.8551533,31.0,1,,tp,100,Jones_Jones_2025
LCP_2024_113.0,07/21/2024,70.73353926,-153.8548863,21.0,1,,tp,100,Jones_Jones_2025
LCP_2024_114.0,07/21/2024,70.73354935,-153.8546146,34.0,1,,tp,100,Jones_Jones_2025
LCP_2024_115.0,07/21/2024,70.73355842,-153.8543472,22.0,1,,tp,100,Jones_Jones_2025
LCP_2024_116.0,07/21/2024,70.73356868,-153.854077,32.0,1,,tp,100,Jones_Jones_2025
LCP_2024_117.0,07/21/2024,70.73357831,-153.8538033,14.0,1,,tp,100,Jones_Jones_2025
LCP_2024_118.0,07/21/2024,70.73358567,-153.8535351,27.0,1,,tp,100,Jones_Jones_2025
LCP_2024_119.0,07/21/2024,70.73359581,-153.8532647,25.0,1,,tp,100,Jones_Jones_2025
LCP_2024_120.0,07/21/2024,70.73360572,-153.8529947,24.0,1,,tp,100,Jones_Jones_2025
