easting_m	northing_m	elevation_m	twt_ns	alt_m
353939.041	7047298.307	1190.322175	17.127892	0.8564
353939.0015	7047298.276	1190.296596	17.538141	0.8769
353938.9619	7047298.245	1190.271016	17.845827	0.8923
353938.9224	7047298.215	1190.245436	18.050952	0.9025
353938.8828	7047298.184	1190.219856	18.050952	0.9025
353938.848	7047298.149	1190.215317	18.461201	0.9231
353938.8132	7047298.113	1190.210778	18.87145	0.9436
353938.7795	7047298.076	1190.21126	19.076574	0.9538
353938.7458	7047298.039	1190.211741	19.179136	0.959
353938.7112	7047298.003	1190.197572	19.281699	0.9641
353938.6767	7047297.967	1190.183401	19.281699	0.9641
353938.6458	7047297.928	1190.175587	19.179136	0.959
353938.6149	7047297.888	1190.167773	19.076574	0.9538
353938.5866	7047297.847	1190.167585	18.974012	0.9487
353938.5582	7047297.806	1190.167397	18.666325	0.9333
353938.5298	7047297.765	1190.167209	18.358639	0.9179
353938.5015	7047297.724	1190.167022	18.050952	0.9025
353938.4707	7047297.684	1190.159716	17.94839	0.8974
353938.4399	7047297.645	1190.15241	17.640703	0.882
353938.4081	7047297.606	1190.153837	17.333016	0.8667
353938.3762	7047297.568	1190.155264	17.02533	0.8513
353938.3425	7047297.531	1190.159822	16.922767	0.8461
353938.3088	7047297.494	1190.16438	16.615081	0.8308
353938.2728	7047297.459	1190.156733	16.512518	0.8256
353938.2368	7047297.425	1190.149086	16.307394	0.8154
353938.2008	7047297.39	1190.141439	16.307394	0.8154
353938.1648	7047297.355	1190.133792	16.10227	0.8051
353938.1276	7047297.322	1190.130015	15.999707	0.8
353938.0905	7047297.288	1190.126238	15.897145	0.7949
353938.0525	7047297.256	1190.125552	15.897145	0.7949
353938.0145	7047297.223	1190.124867	15.692021	0.7846
353937.9781	7047297.189	1190.123176	15.589458	0.7795
353937.9416	7047297.155	1190.121486	15.384334	0.7692
353937.9078	7047297.118	1190.118069	15.076647	0.7538
353937.874	7047297.082	1190.114652	15.076647	0.7538
353937.8401	7047297.045	1190.111235	14.871523	0.7436
353937.8063	7047297.008	1190.107818	14.871523	0.7436
353937.7725	7047296.971	1190.104401	14.871523	0.7436
353937.7387	7047296.934	1190.100984	14.666398	0.7333
353937.7064	7047296.896	1190.092019	14.461274	0.7231
353937.6741	7047296.858	1190.083052	14.461274	0.7231
353937.6424	7047296.819	1190.071816	14.358712	0.7179
