easting_m	northing_m	elevation_m	twt_ns	alt_m
638551.3091	7040176.339	1178.584246	15.553934	0.7777
638551.3184	7040176.388	1178.560483	15.553934	0.7777
638551.3276	7040176.437	1178.536722	15.553934	0.7777
638551.3368	7040176.486	1178.512961	15.553934	0.7777
638551.3461	7040176.535	1178.489199	15.553934	0.7777
638551.3555	7040176.584	1178.467592	15.532933	0.7766
638551.3678	7040176.633	1178.4766	15.572967	0.7786
638551.3801	7040176.681	1178.485607	15.750819	0.7875
638551.3925	7040176.73	1178.494613	16.14459	0.8072
638551.4048	7040176.778	1178.50362	16.341475	0.8171
638551.4171	7040176.827	1178.512627	16.53836	0.8269
638551.4333	7040176.874	1178.504928	16.735246	0.8368
638551.4502	7040176.921	1178.494226	16.932131	0.8466
638551.4672	7040176.968	1178.483524	16.932131	0.8466
638551.4841	7040177.015	1178.472821	16.735246	0.8368
638551.501	7040177.062	1178.462119	16.14459	0.8072
638551.5179	7040177.109	1178.451417	16.14459	0.8072
638551.5318	7040177.157	1178.438243	15.750819	0.7875
638551.541	7040177.206	1178.421371	15.7331	0.7867
638551.5502	7040177.255	1178.404499	15.7331	0.7867
638551.5594	7040177.304	1178.387627	15.813167	0.7907
638551.5686	7040177.353	1178.370754	15.893233	0.7947
638551.5778	7040177.403	1178.353882	15.9733	0.7987
638551.587	7040177.452	1178.337011	16.0934	0.8047
638551.5962	7040177.501	1178.320139	15.947705	0.7974
638551.6048	7040177.55	1178.316116	16.53836	0.8269
638551.6131	7040177.599	1178.31772	16.735246	0.8368
638551.6214	7040177.649	1178.319325	17.129016	0.8565
638551.6296	7040177.698	1178.320929	17.129016	0.8565
638551.6379	7040177.747	1178.322534	17.129016	0.8565
638551.6462	7040177.797	1178.324138	17.129016	0.8565
638551.6545	7040177.846	1178.325743	16.932131	0.8466
638551.6227	7040177.88	1178.336209	16.735246	0.8368
638551.5822	7040177.908	1178.34804	16.735246	0.8368
638551.5378	7040177.923	1178.369877	16.3336	0.8167
638551.5149	7040177.967	1178.413532	16.3336	0.8167
638551.5049	7040178.016	1178.421491	16.3336	0.8167
638551.4949	7040178.065	1178.42945	16.3336	0.8167
638551.4849	7040178.114	1178.437409	16.3336	0.8167
