Name,Longitude,Latitude,Description,Permafrost?,Hit bedrock?,Moss thickness (cm),Active layer thickness (cm),Maximum probe depth,Date and time
PF20,-147.4681089,65.12645561,"69 cm
photos taken
near core site
mossy no shrubs locally",1,0,0,69,,2024-09-24 11:29:50.6 UTC-07:00
PF21,-147.467746,65.12630952,"68 cm
in power line clearing
shrubby
moss",1,0,1,67,,2024-09-24 11:34:52.0 UTC-07:00
PF22,-147.4674267,65.12589715,"could not hit pf at 180 cm
big moss hump close to creek
35 cm moss depth
",0,0,35,,180,2024-09-24 11:39:13.2 UTC-07:00
PF23,-147.467138,65.12566466,"55 cm
photos tken with creek in background abt 2 meters from top of bank",1,0,0,55,,2024-09-24 11:42:53.8 UTC-07:00
PF24,-147.4666857,65.12539793,"64 cm
in core pit 
wet in pit standing water
",1,0,0,64,,2024-09-24 11:45:48.0 UTC-07:00
PF25,-147.4664356,65.12520646,"near dead spruce
between tussocks
66 cm
",1,0,0,66,,2024-09-24 11:48:02.8 UTC-07:00
PF26,-147.467551,65.12485254,"in spruce dense(r) area
thick moss
can hear nearby babbling creek
126 cm",1,0,11,115,,2024-09-24 11:53:33.6 UTC-07:00
PF27,-147.4675422,65.12502043,"coring site
in creek
gentle flow of water
no veg
129 cm
photo taken",1,0,0,129,,2024-09-24 11:57:06.4 UTC-07:00
PF28,-147.4680375,65.12520247,"between moss lumps
99 cm
standing water within 1 meter
",1,0,0,99,,2024-09-24 12:00:14.4 UTC-07:00
PF29,-147.4680042,65.12531745,"coring site
standing water 1 cm
veg still gone
115 cm",1,0,0,114,,2024-09-24 12:04:33.8 UTC-07:00
PF30,-147.4684649,65.12547455,"between tussocks
dry no water nearby
67 cm",1,0,0,67,,2024-09-24 12:06:55.0 UTC-07:00
PF31,-147.4688248,65.1255298,"coring site
some thin moss
60 cm",1,0,1,60,,2024-09-24 12:09:15.8 UTC-07:00
PF32,-147.4690137,65.12571171,"in power line path
70 cm",1,0,0,70,,2024-09-24 12:11:16.2 UTC-07:00
PF33,-147.4694273,65.1259695,"68 cm
5 cm moss",1,0,5,63,,2024-09-24 12:14:39.4 UTC-07:00
PF34,-147.4693873,65.12581333,"coring site
muddy but no stAnding water
68 cm",1,0,0,68,,2024-09-24 12:16:53.6 UTC-07:00
PF35,-147.4702264,65.12567717,"reflector
short grasses 
76 cm",1,0,0,76,,2024-09-24 12:21:24.0 UTC-07:00
PF36,-147.4701522,65.12567616,"reflector
short grasses 85 cm
photos taken",1,0,0,85,,2024-09-24 12:22:21.6 UTC-07:00
PF37,-147.4712705,65.12486204,"transformer reflector
short grasses 69 cm
slightly disturbed
photos taken",1,0,0,69,,2024-09-24 13:27:21.0 UTC-07:00
PF38,-147.4712177,65.12487055,"transformer reflector
short grasses 43 cm
slightly disturbed
photos taken",1,0,0,43,,2024-09-24 13:28:09.4 UTC-07:00
PF39,-147.4712622,65.12488103,"transformer reflector
short grasses 85 cm
slightly disturbed
photos taken",1,0,0,85,,2024-09-24 13:28:43.6 UTC-07:00
PF40,-147.4712323,65.12484526,"transformer reflector
short grasses 84 cm
slightly disturbed
photos taken",1,0,0,84,,2024-09-24 13:29:23.0 UTC-07:00
PF41,-147.4857921,65.12257901,"45 cm
7 cm moss layer
spruce trees",1,0,7,38,,2024-09-24 13:47:34.8 UTC-07:00
PF42,-147.4854512,65.1226899,"67 cm
12 cm moss layer
spruce trees",1,0,12,55,,2024-09-24 13:48:52.2 UTC-07:00
PF43,-147.4859379,65.12294226,"52 cm
10 cm moss layer
spruce trees",1,0,10,42,,2024-09-24 13:50:33.2 UTC-07:00
PF44,-147.4866032,65.12325765,"59 cm
16 cm moss layer
spruce trees",1,0,16,43,,2024-09-24 13:52:44.4 UTC-07:00
PF45,-147.4872888,65.12356412,"75 cm
48 cm moss layer
spruce trees",1,0,48,27,,2024-09-24 13:55:05.8 UTC-07:00
PF46,-147.4878353,65.12386488,"99 cm
57 cm moss layer
spruce trees",1,0,57,42,,2024-09-24 13:57:23.8 UTC-07:00
PF47,-147.4883978,65.12409196,"68 cm
50 cm moss layer
spruce trees",1,0,50,18,,2024-09-24 13:59:49.8 UTC-07:00
