site_id,source,date,lat,lon,pf_observed,pf_depth,pf_depth_std,n_measurements,thaw_depth,obs_limit,method,timeSinceFire,org_thick,burn_unburn,measured_thaw_depth,measured_date
d,Talucci_2024,2018-10-15,61.2594,-163.239,1,61.7,12.42,118,61.7,,unknown,3,25.0,burned,,
d,Talucci_2024,2019-10-03,61.2594,-163.239,1,80.12,25.02,118,80.12,,unknown,4,25.0,burned,,
d,Talucci_2024,2018-10-15,61.2595,-163.239,1,65.13,7.53,57,65.13,,unknown,3,25.0,burned,,
d,Talucci_2024,2019-10-03,61.2595,-163.239,1,80.26,30.32,57,80.26,,unknown,4,25.0,burned,,
YKD,Talucci_2024,2017-10-05,61.26004,-163.24,1,55.22,6.06,9,55.22,,unknown,2,,burned,,
d,Talucci_2024,2018-10-09,61.261,-163.243,1,60.93,14.18,60,60.93,,unknown,,25.0,unburned,,
d,Talucci_2024,2018-10-09,61.2611,-163.243,1,62.87,16.44,60,62.87,,unknown,,25.0,unburned,,
d,Talucci_2024,2018-10-09,61.2612,-163.243,1,62.93,13.39,60,62.93,,unknown,,25.0,unburned,,
b,Talucci_2024,2018-10-09,61.2629,-163.25,1,53.63,15.19,60,53.63,,unknown,,25.0,unburned,,
b,Talucci_2024,2018-10-09,61.263,-163.25,1,52.47,6.65,60,52.47,,unknown,,25.0,unburned,,
b,Talucci_2024,2018-10-09,61.2632,-163.249,1,51.38,17.63,60,51.38,,unknown,,25.0,unburned,,
b,Talucci_2024,2018-10-15,61.2653,-163.249,1,53.07,6.98,111,53.07,,unknown,3,25.0,burned,,
b,Talucci_2024,2019-10-03,61.2653,-163.249,1,71.45,24.11,111,71.45,,unknown,4,25.0,burned,,
b,Talucci_2024,2018-10-15,61.2654,-163.249,1,50.2,9.37,60,50.2,,unknown,3,25.0,burned,,
b,Talucci_2024,2019-10-03,61.2654,-163.249,1,72.47,20.8,60,72.47,,unknown,4,25.0,burned,,
yk_delta_izaviknek_uplands,Talucci_2024,2017-10-05,61.2696,-162.637,1,53.62,6.42,21,53.62,,unknown,,30.0,unburned,,
YKDB,Talucci_2024,2017-10-05,61.26996,-163.2354,1,66.92,2.4,13,66.92,,unknown,2,,burned,,
YKDB,Talucci_2024,2017-10-05,61.27012,-163.2358,1,68.31,7.69,13,68.31,,unknown,2,,burned,,
YKD,Talucci_2024,2016-10-03,61.27027,-163.241,1,64.58,5.63,93,64.58,,unknown,,,unburned,,
a,Talucci_2024,2018-10-09,61.2704,-163.239,1,74.93,30.29,60,74.93,,unknown,,25.0,unburned,,
a,Talucci_2024,2018-10-15,61.2704,-163.236,1,69.6,12.9,55,69.6,,unknown,3,25.0,burned,,
a,Talucci_2024,2019-10-03,61.2704,-163.236,1,105.24,34.2,55,105.24,,unknown,4,25.0,burned,,
YKD,Talucci_2024,2017-10-05,61.27041,-163.237,1,51.67,7.81,9,51.67,,unknown,,,unburned,,
a,Talucci_2024,2018-10-09,61.2705,-163.239,1,72.7,21.85,60,72.7,,unknown,,25.0,unburned,,
a,Talucci_2024,2018-10-15,61.2705,-163.236,1,71.07,9.69,51,71.07,,unknown,3,25.0,burned,,
a,Talucci_2024,2019-10-03,61.2705,-163.236,1,83.86,30.19,51,83.86,,unknown,4,25.0,burned,,
a,Talucci_2024,2018-10-15,61.2706,-163.236,1,72.27,9.45,56,72.27,,unknown,3,25.0,burned,,
