site_id,lat,lon,date,pf_observed,pf_depth,thaw_depth,obs_limit,method,source,candidate_type,absence_latitude_threshold_abs_ge,pedon_key,site_key,pedlabsampnum,upedonid,usiteid,country_key,state_key,county_key,mlra_key,ssa_key,frozen_horizons,all_horizons,n_frozen_layers,n_layers,corr_classification_name,corr_taxorder,corr_taxsuborder,corr_taxgrtgroup,corr_taxsubgrp,samp_classification_name,samp_taxorder,samp_taxsuborder,samp_taxgrtgroup,samp_taxsubgrp,SSL_classification_name,SSL_taxorder,SSL_taxsuborder,SSL_taxgrtgroup,SSL_taxsubgrp
S2003AK240001,64.2783661,-146.2699432,2003-08-12,0,,,190.0,pit,NCSS_Lab_Data_Mart,absence,55.0,31401,31282,04N0262,S2003AK240001,S03AK240001,244,3946,4282.0,7803.0,11144.0,,Oe|E|Bw1|Bw2|BC|C1|C2,0,7,,,,,,"Clayey over loamy, mixed, active, subgelic Aquic Dystrocryept",inceptisols,cryepts,dystrocryepts,aquic dystrocryepts,,,,,
S2003AK240002,63.7405548,-146.5727844,2003-07-30,0,,,90.0,pit,NCSS_Lab_Data_Mart,absence,55.0,32468,32343,04N0087,S2003AK240002,03AK240002,244,3946,4282.0,7800.0,,,OA|2Bw1|2Bw2|2BC|2C,0,5,,,,,,Typic Dystrocryepts,inceptisols,cryepts,dystrocryepts,typic dystrocryepts,,,,,
S2003AK240003,63.0603981,-141.8302155,2003-08-13,0,,,70.0,pit,NCSS_Lab_Data_Mart,absence,55.0,31403,31284,04N0264,S2003AK240003,S03AK240003,244,3946,4282.0,7803.0,11144.0,,Oi|A|Bw1|Bw2|BC,0,5,,,,,,"Ashy, superactive, subgelic Typic Vitricryand",andisols,cryands,vitricryands,typic vitricryands,,,,,
S2003AK240004,64.0216675,-146.7016602,2003-07-31,0,,,125.0,pit,NCSS_Lab_Data_Mart,absence,55.0,32470,32345,04N0089,S2003AK240004,03AK240004,244,3946,4282.0,7800.0,11696.0,,Oe|AE|2Bw1|2Bw2|2BC|3BC2|3BC3|4C,0,8,,,,,,Sandy Typic Dystrocryepts,inceptisols,cryepts,dystrocryepts,typic dystrocryepts,,,,,
S2003AK240004,63.0559349,-141.8266602,2003-08-13,0,,,85.0,pit,NCSS_Lab_Data_Mart,absence,55.0,31404,31285,04N0265,S2003AK240004,S03AK240004,244,3946,4282.0,7803.0,11144.0,,Oi|A|E|Bw1|2Bw2,0,5,,,,,,"Ashy, active, subgelic Typic Vitricryand",andisols,cryands,vitricryands,typic vitricryands,,,,,
S2003AK240005,63.9463882,-145.5619507,2003-07-31,0,,,100.0,pit,NCSS_Lab_Data_Mart,absence,55.0,32471,32346,04N0090,S2003AK240005,03AK240005,244,3946,4282.0,,,,Oe|AE|Bw1|Bw2|Bw3|2Bw4|2C,0,7,,,,,,Typic Dystrocryepts,inceptisols,cryepts,dystrocryepts,typic dystrocryepts,,,,,
S2003AK240005,63.3131676,-142.673584,2003-08-14,0,,,110.0,pit,NCSS_Lab_Data_Mart,absence,55.0,31405,31286,04N0266,S2003AK240005,S03AK240005,244,3946,4282.0,7801.0,11146.0,,Oi|AB|Bw1|Bw2|BC|2C2|R,0,7,,,,,,"Fine-silty, mixed, active, subgelic Andic Dystrocryept",inceptisols,cryepts,dystrocryepts,andic dystrocryepts,,,,,
S2003AK240006,63.8424988,-145.9149933,2003-09-01,0,,,100.0,pit,NCSS_Lab_Data_Mart,absence,55.0,32472,32347,04N0091,S2003AK240006,03AK240006,244,3946,4282.0,7801.0,11696.0,,Oi|A|E/B|Bg|BC|2C,0,6,,,,,,Loamy over sandy or sandy-skeletal Typic Cryaquepts,inceptisols,aquepts,cryaquepts,typic cryaquepts,,,,,
S2003AK240007,63.8080559,-145.7341614,2003-09-01,0,,,100.0,pit,NCSS_Lab_Data_Mart,absence,55.0,32473,32348,04N0092,S2003AK240007,03AK240007,244,3946,4282.0,7800.0,,,Oe|A|Bw1|2Bw2|2C,0,5,,,,,,Sandy or sandy-skeletal Typic Dystrocryepts,inceptisols,cryepts,dystrocryepts,typic dystrocryepts,,,,,
S2003AK240007,63.2594681,-143.0053711,2003-08-14,0,,,61.0,pit,NCSS_Lab_Data_Mart,absence,55.0,31407,31288,04N0268,S2003AK240007,S03AK240007,244,3946,4282.0,7801.0,11146.0,,Oi|A|Bw1|2Bw2|2BC,0,5,,,,,,"Coarse-silty over sandy or sandy-skeletal, mixed, active, subgelic Andic Dystrocryept",inceptisols,cryepts,dystrocryepts,andic dystrocryepts,,,,,
