    177.83      3.33      5.22      3.94      2.32       .17      -.62     -1.16     -1.59     -1.79     -2.35     -3.53     -4.49     -5.45
    177.92      3.67      3.92      3.04      2.08       .18      -.61     -1.15     -1.58     -1.78     -2.36     -3.52     -4.49     -5.44
    178.00      2.08      2.85      2.57      1.83       .16      -.63     -1.15     -1.58     -1.78     -2.35     -3.52     -4.48     -5.44
    178.08      1.33      1.94      2.05      1.56       .13      -.63     -1.14     -1.55     -1.77     -2.33     -3.51     -4.48     -5.43
    178.17      1.85      2.01      1.76      1.31       .08      -.63     -1.14     -1.55     -1.77     -2.33     -3.51     -4.48     -5.43
    178.25      4.06      3.50      2.03      1.22       .08      -.61     -1.14     -1.53     -1.77     -2.33     -3.51     -4.48     -5.39
    178.33      8.34      6.64      2.93      1.36       .07      -.61     -1.15     -1.54     -1.77     -2.29     -3.49     -4.44     -5.39
    178.42     13.68     12.10      5.01      1.91       .10      -.60     -1.14     -1.53     -1.76     -2.30     -3.48     -4.43     -5.40
    178.50     13.97     13.70      6.76      2.71       .21      -.58     -1.13     -1.52     -1.76     -2.28     -3.47     -4.42     -5.39
    178.58     21.00     19.45      9.06      3.68       .37      -.57     -1.13     -1.50     -1.75     -2.29     -3.46     -4.43     -5.38
    178.67     16.19     15.32      8.55      4.19       .53      -.57     -1.11     -1.50     -1.74     -2.29     -3.45     -4.43     -5.36
    178.75     13.31     13.26      8.13      4.45       .70      -.55     -1.11     -1.50     -1.73     -2.29     -3.47     -4.43     -5.34
    178.83     10.27     11.44      7.43      4.43       .82      -.53     -1.10     -1.49     -1.73     -2.28     -3.42     -4.41     -5.33
    178.92      8.25      8.42      6.17      4.12       .86      -.52     -1.10     -1.49     -1.72     -2.28     -3.42     -4.40     -5.33
    179.00      2.89      4.12      4.58      3.60       .85      -.51     -1.09     -1.48     -1.71     -2.27     -3.41     -4.41     -5.32
    179.08      3.45      3.87      3.84      3.06       .79      -.50     -1.08     -1.47     -1.70     -2.26     -3.39     -4.40     -5.31
    179.17      4.97      3.89      3.44      2.66       .68      -.50     -1.06     -1.46     -1.70     -2.26     -3.39     -4.38     -5.31
    179.25      8.27      4.97      3.32      2.36       .61      -.48     -1.04     -1.44     -1.68     -2.26     -3.39     -4.36     -5.31
    179.33     14.30     10.67      4.59      2.42       .55      -.47     -1.04     -1.43     -1.67     -2.22     -3.40     -4.36     -5.31
    179.42     17.82     16.22      6.95      2.90       .59      -.44     -1.01     -1.44     -1.66     -2.23     -3.37     -4.35     -5.28
    179.50     22.73     19.66      9.04      3.65       .69      -.42     -1.01     -1.40     -1.63     -2.21     -3.38     -4.32     -5.29
    179.58     25.82     22.10     10.42      4.50       .91      -.40      -.99     -1.39     -1.63     -2.20     -3.38     -4.32     -5.29
    179.67     30.81     24.36     11.82      5.45      1.21      -.39      -.98     -1.36     -1.62     -2.17     -3.37     -4.30     -5.27
    179.75     19.02     18.14     10.88      5.95      1.55      -.37      -.98     -1.37     -1.62     -2.15     -3.37     -4.29     -5.28
