lon,lat,pf_depth,pf_observed,obs_limit,site_id,thaw_depth,year,month,day,date,method,source,comments
118.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
118.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
119.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
119.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
120.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
120.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
121.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
121.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
122.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
122.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
123.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
123.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
124.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
124.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
125.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
125.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
126.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
126.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
127.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
127.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
128.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
128.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
129.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
129.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
130.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
130.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
131.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
131.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
132.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
132.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
133.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
133.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
134.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
134.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
135.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
135.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
136.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
136.75,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
137.25,76.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
137.75,76.75,50.02038,1,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
138.25,76.75,57.0867,1,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
138.75,76.75,81.14203,1,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
139.25,76.75,96.99708,1,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
139.75,76.75,104.02688,1,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
140.25,76.75,50.02328,1,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
