site_id,pf_observed,pf_depth,org_thick,org_thick_lower_bound,Canopy and Surface,Burn Year,Relief,Soil Type,lat,lon,source,thaw_depth,obs_limit,date,method,quality_flag_date_assigned,quality_flag_date_source_approximate,quality_flag_obs_limit_assumed,quality_flag_model_or_estimate,quality_flag_method_approximate_or_unknown,quality_flag_upper_bound_presence
5,1,84.0,,False,"Spruce, tamarack; moss",1971,Slope,Sand,60.71464,-115.8943,Holloway_2019,84.0,,1962-09-15,tp,True,,False,,True,False
6,0,,,False,"Jack pine, poplar, spruce",1981,High,Gravel,60.70697,-115.9038,Holloway_2019,,200.0,1962-09-15,tp,True,,True,,True,False
7,0,,,False,,,River or stream valley,,60.67968,-115.95303,Holloway_2019,,200.0,1962-09-15,tp,True,,True,,True,False
9,1,54.0,51,False,"Wet, hummocky moss with lichen",,Low,Sand,60.6603,-116.01446,Holloway_2019,54.0,,1962-09-15,tp,True,,False,,True,False
11,0,,61,False,"Spruce, tamarack; hummocky sphagnum",,Low,Sand,60.62586,-116.06358,Holloway_2019,,200.0,1962-09-15,tp,True,,True,,True,False
14,0,,,False,"Poplar, jack pine, spruce",,High,Gravel,60.60585,-116.09553,Holloway_2019,,200.0,1962-09-15,tp,True,,True,,True,False
18,1,113.0,106,False,Spruce and tamarack; hummocky sphagnum,,Low,Sand,60.57663,-116.11031,Holloway_2019,113.0,,1962-09-15,tp,True,,False,,True,False
19,0,,46,False,"Spruce; Hummocky moss, lichen, sphagnum",,Low,Sand,60.5679,-116.11639,Holloway_2019,,200.0,1962-09-15,tp,True,,True,,True,False
20,0,,15,False,"Spruce, jack pine, tamarack; Moss, lichen, sedge",,Sloping,Sand,60.55503,-116.15326,Holloway_2019,,200.0,1962-09-15,tp,True,,True,,True,False
22,0,,,False,"Spruce, jack pine, poplar; Moss, grass, sedge, lichen",,High,"Sand, silt, clay, some stones",60.52057,-116.22886,Holloway_2019,,200.0,1962-09-15,tp,True,,True,,True,False
23,1,60.0,56,False,"Spruce and tamarack; Peat plateau with hummocky moss, lichen, and labrador tea",,Low,"Organic, sand, silt, clay",60.49422,-116.29705,Holloway_2019,60.0,,1962-09-15,tp,True,,False,,True,False
24,0,,,False,"Spruce, tamarack, willow; Wet moss",,Low,Silt,60.49135,-116.30062,Holloway_2019,,200.0,1962-09-15,tp,True,,True,,True,False
25,0,,61,False,"Spruce, tamarack, willow; Moss, sedge, willow",,Low,"Silt, sand, some stones",60.48296,-116.318,Holloway_2019,,200.0,1962-09-15,tp,True,,True,,True,False
26,1,60.0,61,False,"Spruce; Hummocky moss, lichen, grass",,Sloping,Sand and gravel,60.4699,-116.32596,Holloway_2019,60.0,,1962-09-15,tp,True,,False,,True,False
28,0,,,False,"Jack pine, poplar; Forest litter",,High,"Clay, silt, some stones",60.44796,-116.34259,Holloway_2019,,200.0,1962-09-15,tp,True,,True,,True,False
