site_ID,lon_gpr,lat_gpr,alt_gpr,unc_alt_gpr
BS,-156.553828,71.25596,0.423773,0.058857
BS,-156.55383,71.255958,0.415675,0.057733
BS,-156.553831,71.255958,0.412976,0.057358
BS,-156.553832,71.255957,0.412976,0.057358
BS,-156.553833,71.255956,0.412976,0.057358
BS,-156.553834,71.255955,0.412976,0.057358
BS,-156.553835,71.255955,0.412976,0.057358
BS,-156.553836,71.255954,0.412976,0.057358
BS,-156.553837,71.255953,0.412976,0.057358
BS,-156.553836,71.255954,0.410277,0.056983
BS,-156.553836,71.255954,0.410277,0.056983
BS,-156.553836,71.255954,0.410277,0.056983
BS,-156.553836,71.255954,0.410277,0.056983
BS,-156.553836,71.255954,0.410277,0.056983
BS,-156.553835,71.255955,0.410277,0.056983
BS,-156.553835,71.255955,0.410277,0.056983
BS,-156.553835,71.255955,0.410277,0.056983
BS,-156.553833,71.255955,0.410277,0.056983
BS,-156.553831,71.255955,0.410277,0.056983
BS,-156.553828,71.255955,0.410277,0.056983
BS,-156.553829,71.255955,0.410277,0.056983
BS,-156.553831,71.255955,0.410277,0.056983
BS,-156.553832,71.255955,0.410277,0.056983
BS,-156.553835,71.255955,0.410277,0.056983
BS,-156.553835,71.255955,0.410277,0.056983
BS,-156.553836,71.255955,0.410277,0.056983
BS,-156.553836,71.255955,0.410277,0.056983
BS,-156.553837,71.255955,0.410277,0.056983
BS,-156.553836,71.255955,0.410277,0.056983
BS,-156.553836,71.255956,0.410277,0.056983
BS,-156.553836,71.255956,0.410277,0.056983
BS,-156.553835,71.255956,0.410277,0.056983
BS,-156.553835,71.255957,0.410277,0.056983
BS,-156.553835,71.255957,0.410277,0.056983
BS,-156.553835,71.255958,0.410277,0.056983
BS,-156.553835,71.255959,0.407578,0.056608
BS,-156.553836,71.25596,0.410277,0.056983
BS,-156.553836,71.255961,0.415675,0.057733
BS,-156.553836,71.255962,0.421074,0.058482
BS,-156.553836,71.255962,0.418374,0.058108
BS,-156.553837,71.255963,0.415675,0.057733
BS,-156.553835,71.255962,0.421074,0.058482
BS,-156.553833,71.25596,0.423773,0.058857
BS,-156.553832,71.255958,0.421074,0.058482
BS,-156.553832,71.255957,0.421074,0.058482
BS,-156.553833,71.255955,0.421074,0.058482
BS,-156.55383,71.255954,0.423773,0.058857
BS,-156.553827,71.255952,0.421074,0.058482
BS,-156.553823,71.255951,0.421074,0.058482
BS,-156.55382,71.255949,0.426472,0.059232
BS,-156.553817,71.255948,0.426472,0.059232
BS,-156.553813,71.255947,0.429171,0.059607
BS,-156.5538,71.255943,0.429171,0.059607
BS,-156.553794,71.255942,0.421074,0.058482
BS,-156.553788,71.25594,0.423773,0.058857
BS,-156.553782,71.255938,0.418374,0.058108
BS,-156.553775,71.255937,0.421074,0.058482
BS,-156.553769,71.255935,0.410277,0.056983
BS,-156.553763,71.255933,0.410277,0.056983
BS,-156.553757,71.255932,0.418374,0.058108
BS,-156.55375,71.25593,0.415675,0.057733
BS,-156.553743,71.255928,0.407578,0.056608
BS,-156.553737,71.255927,0.412976,0.057358
BS,-156.553727,71.255923,0.421074,0.058482
BS,-156.553724,71.255922,0.415675,0.057733
BS,-156.553722,71.255921,0.421074,0.058482
BS,-156.55372,71.25592,0.423773,0.058857
BS,-156.553715,71.255918,0.429171,0.059607
BS,-156.553712,71.255917,0.43457,0.060357
BS,-156.553708,71.255915,0.429171,0.059607
BS,-156.553706,71.255913,0.43187,0.059982
BS,-156.553703,71.255912,0.423773,0.058857
BS,-156.553701,71.25591,0.426472,0.059232
BS,-156.553698,71.255908,0.43187,0.059982
BS,-156.553697,71.255906,0.437269,0.060732
BS,-156.553695,71.255904,0.439968,0.061107
BS,-156.553693,71.255902,0.43457,0.060357
BS,-156.553692,71.2559,0.43187,0.059982
BS,-156.553688,71.255897,0.421074,0.058482
BS,-156.553685,71.255894,0.426472,0.059232
BS,-156.553682,71.255892,0.418374,0.058108
BS,-156.55368,71.25589,0.418374,0.058108
BS,-156.553679,71.255888,0.402179,0.055858
BS,-156.553678,71.255885,0.388683,0.053984
BS,-156.553677,71.255883,0.383285,0.053234
BS,-156.553673,71.25588,0.36709,0.050985
BS,-156.55367,71.255877,0.36709,0.050985
BS,-156.553667,71.255873,0.361691,0.050235
BS,-156.553664,71.255872,0.350895,0.048735
BS,-156.553662,71.25587,0.340098,0.047236
BS,-156.553659,71.255868,0.3347,0.046486
BS,-156.553657,71.255867,0.3347,0.046486
BS,-156.553653,71.255865,0.337399,0.046861
BS,-156.55365,71.255864,0.337399,0.046861
BS,-156.553647,71.255863,0.3347,0.046486
BS,-156.553643,71.255862,0.3347,0.046486
BS,-156.553639,71.255861,0.3347,0.046486
BS,-156.553636,71.255859,0.329301,0.045736
BS,-156.553632,71.255858,0.321204,0.044612
BS,-156.55363,71.255858,0.313106,0.043487
BS,-156.553628,71.255857,0.307708,0.042737
BS,-156.553626,71.255856,0.307708,0.042737
BS,-156.553623,71.255855,0.29961,0.041613
BS,-156.553622,71.255855,0.294212,0.040863
BS,-156.553622,71.255855,0.278017,0.038613
BS,-156.553621,71.255855,0.261821,0.036364
BS,-156.55362,71.255855,0.278017,0.038613
BS,-156.553618,71.255854,0.286114,0.039738
BS,-156.553615,71.255853,0.286114,0.039738
BS,-156.55361,71.255852,0.291513,0.040488
BS,-156.553606,71.255851,0.302309,0.041987
BS,-156.553602,71.25585,0.318504,0.044237
BS,-156.553599,71.255849,0.3347,0.046486
BS,-156.553597,71.255849,0.318504,0.044237
BS,-156.553595,71.255848,0.3347,0.046486
BS,-156.553587,71.255846,0.350895,0.048735
BS,-156.553578,71.255843,0.36709,0.050985
BS,-156.553575,71.255842,0.380586,0.052859
BS,-156.553572,71.25584,0.377887,0.052484
BS,-156.553568,71.255839,0.369789,0.05136
BS,-156.553565,71.255838,0.364391,0.05061
BS,-156.553563,71.255837,0.364391,0.05061
BS,-156.553562,71.255836,0.364391,0.05061
BS,-156.55356,71.255835,0.358992,0.04986
BS,-156.553558,71.25583,0.369789,0.05136
BS,-156.553556,71.255828,0.36709,0.050985
BS,-156.553553,71.255826,0.36709,0.050985
BS,-156.55355,71.255823,0.364391,0.05061
BS,-156.553549,71.255822,0.361691,0.050235
BS,-156.553548,71.255821,0.369789,0.05136
BS,-156.553547,71.25582,0.375187,0.052109
BS,-156.553546,71.255819,0.36709,0.050985
BS,-156.553545,71.255818,0.375187,0.052109
BS,-156.553537,71.255817,0.391383,0.054359
BS,-156.553534,71.255816,0.375187,0.052109
BS,-156.553532,71.255815,0.372488,0.051734
BS,-156.553529,71.255813,0.375187,0.052109
BS,-156.553526,71.255812,0.383285,0.053234
BS,-156.553523,71.25581,0.385984,0.053609
BS,-156.55352,71.255808,0.388683,0.053984
BS,-156.553516,71.255806,0.383285,0.053234
BS,-156.553512,71.255804,0.385984,0.053609
BS,-156.553508,71.255802,0.372488,0.051734
BS,-156.553506,71.255799,0.380586,0.052859
BS,-156.553503,71.255797,0.380586,0.052859
BS,-156.553503,71.255796,0.383285,0.053234
BS,-156.553502,71.255794,0.388683,0.053984
BS,-156.553502,71.255793,0.404878,0.056233
BS,-156.553496,71.255791,0.407578,0.056608
BS,-156.55349,71.255788,0.415675,0.057733
BS,-156.553485,71.255787,0.415675,0.057733
BS,-156.553481,71.255785,0.426472,0.059232
BS,-156.553476,71.255783,0.410277,0.056983
BS,-156.553472,71.255782,0.39948,0.055483
BS,-156.553468,71.25578,0.39948,0.055483
BS,-156.553463,71.255778,0.415675,0.057733
BS,-156.553458,71.255777,0.421074,0.058482
BS,-156.553453,71.255775,0.421074,0.058482
BS,-156.553451,71.255773,0.429171,0.059607
BS,-156.553448,71.255771,0.43187,0.059982
BS,-156.553445,71.255769,0.43187,0.059982
BS,-156.553443,71.255767,0.442667,0.061482
BS,-156.55344,71.255765,0.445366,0.061856
BS,-156.553438,71.255764,0.442667,0.061482
BS,-156.553435,71.255762,0.439968,0.061107
BS,-156.553433,71.255761,0.43457,0.060357
BS,-156.553432,71.25576,0.437269,0.060732
BS,-156.553432,71.255758,0.43187,0.059982
BS,-156.553432,71.255757,0.445366,0.061856
BS,-156.553429,71.255754,0.429171,0.059607
BS,-156.553427,71.255752,0.442667,0.061482
BS,-156.553425,71.25575,0.445366,0.061856
BS,-156.553423,71.255748,0.437269,0.060732
BS,-156.553421,71.255746,0.43457,0.060357
BS,-156.553419,71.255744,0.421074,0.058482
BS,-156.553417,71.255742,0.418374,0.058108
BS,-156.553416,71.25574,0.418374,0.058108
BS,-156.553415,71.255738,0.415675,0.057733
BS,-156.553415,71.255737,0.415675,0.057733
BS,-156.553415,71.255737,0.418374,0.058108
BS,-156.553413,71.255736,0.421074,0.058482
BS,-156.553412,71.255736,0.421074,0.058482
BS,-156.55341,71.255735,0.418374,0.058108
BS,-156.55341,71.255735,0.418374,0.058108
BS,-156.553409,71.255735,0.421074,0.058482
BS,-156.553409,71.255735,0.43187,0.059982
BS,-156.553408,71.255735,0.426472,0.059232
BS,-156.553408,71.255734,0.423773,0.058857
BS,-156.553407,71.255733,0.418374,0.058108
BS,-156.553407,71.255732,0.415675,0.057733
BS,-156.553407,71.255732,0.412976,0.057358
BS,-156.553404,71.255731,0.418374,0.058108
BS,-156.553401,71.255729,0.421074,0.058482
BS,-156.553398,71.255728,0.415675,0.057733
BS,-156.553397,71.255727,0.421074,0.058482
BS,-156.553397,71.255726,0.415675,0.057733
BS,-156.553396,71.255724,0.423773,0.058857
BS,-156.553395,71.255723,0.43457,0.060357
