Site	date	Probe	thaw	probe code
	collected	number	depth (cm)	"(I,R,O)"
TKN0051	9/14/2000	9	55	I
TKN0051	9/14/2000	10	62	I
TKN0052	9/14/2000	1	55	I
TKN0052	9/14/2000	2	65	I
TKN0052	9/14/2000	3	59	I
TKN0052	9/14/2000	4	70	I
TKN0052	9/14/2000	5	70	I
TKN0052	9/14/2000	6	58	I
TKN0052	9/14/2000	7	71	I
TKN0052	9/14/2000	8	58	I
TKN0052	9/14/2000	9	46	I
TKN0052	9/14/2000	10	64	I
TKN0053	9/21/2000	1	53	I
TKN0053	9/21/2000	2	46	I
TKN0053	9/21/2000	3	62	I
TKN0053	9/21/2000	4	42	I
TKN0053	9/21/2000	5	61	I
TKN0053	9/21/2000	6	53	I
TKN0053	9/21/2000	7	63	I
TKN0053	9/21/2000	8	64	I
TKN0053	9/21/2000	9	62	I
TKN0053	9/21/2000	10	64	I
TKN0054	9/21/2000	1	84	I
TKN0054	9/21/2000	2	90	I
TKN0054	9/21/2000	3	78	I
TKN0054	9/21/2000	4	77	I
TKN0054	9/21/2000	5	88	I
TKN0054	9/21/2000	6	93	I
TKN0054	9/21/2000	7	83	I
TKN0054	9/21/2000	8	79	I
TKN0054	9/21/2000	9	80	I
TKN0054	9/21/2000	10	86	I
TKN0055	9/24/2000	1	52	I
TKN0055	9/24/2000	2	70	I
TKN0055	9/24/2000	3	66	I
TKN0055	9/24/2000	4	58	I
TKN0055	9/24/2000	5	71	I
TKN0055	9/24/2000	6	53	I
TKN0055	9/24/2000	7	57	I
TKN0055	9/24/2000	8	55	I
TKN0055	9/24/2000	9	59	I
TKN0055	9/24/2000	10	59	I
TKN0056	9/24/2000	1	96	I
TKN0056	9/24/2000	2	95	I
TKN0056	9/24/2000	3	87	I
TKN0056	9/24/2000	4	91	I
TKN0056	9/24/2000	5	84	I
TKN0056	9/24/2000	6	94	I
TKN0056	9/24/2000	7	78	I
TKN0056	9/24/2000	8	100	I
TKN0056	9/24/2000	9	74	I
TKN0056	9/24/2000	10	77	I
TKN0057	9/22/2000	1	62	I
TKN0057	9/22/2000	2	58	I
TKN0057	9/22/2000	3	70	I
TKN0057	9/22/2000	4	71	I
TKN0057	9/22/2000	5	53	I
TKN0057	9/22/2000	6	56	I
TKN0057	9/22/2000	7	74	I
TKN0057	9/22/2000	8	63	I
TKN0057	9/22/2000	9	77	I
TKN0057	9/22/2000	10	66	I
TKN0058	9/22/2000	1	56	I
TKN0058	9/22/2000	2	52	I
TKN0058	9/22/2000	3	64	I
TKN0058	9/22/2000	4	42	I
TKN0058	9/22/2000	5	62	I
TKN0058	9/22/2000	6	42	I
TKN0058	9/22/2000	7	63	I
TKN0058	9/22/2000	8	52	I
TKN0058	9/22/2000	9	55	I
TKN0058	9/22/2000	10	55	I
TKN0059	9/22/2000	1	61	I
TKN0059	9/22/2000	2	54	I
TKN0059	9/22/2000	3	49	I
TKN0059	9/22/2000	4	55	I
TKN0059	9/22/2000	5	54	I
TKN0059	9/22/2000	6	79	I
TKN0059	9/22/2000	7	56	I
TKN0059	9/22/2000	8	50	I
TKN0059	9/22/2000	9	60	I
TKN0059	9/22/2000	10	62	I
TKN0101	9/19/2001	1	100	O
TKN0101	9/19/2001	2	100	O
TKN0101	9/19/2001	3	100	O
TKN0101	9/19/2001	4	100	O
TKN0101	9/19/2001	5	100	O
TKN0101	9/19/2001	6	100	O
TKN0101	9/19/2001	7	100	O
TKN0101	9/19/2001	8	100	O
TKN0101	9/19/2001	9	100	O
TKN0101	9/19/2001	10	100	O
TKN0102	9/21/2001	1	100	I
TKN0102	9/21/2001	2	60	R
TKN0102	9/21/2001	3	55	R
TKN0102	9/21/2001	4	60	R
TKN0102	9/21/2001	5	85	I
TKN0102	9/21/2001	6	61	I
TKN0102	9/21/2001	7	45	R
TKN0102	9/21/2001	8	52	R
TKN0102	9/21/2001	9	68	I
TKN0102	9/21/2001	10	78	I
TKN0103	9/21/2001	1	59	I
TKN0103	9/21/2001	2	60	I
TKN0103	9/21/2001	3	64	I
TKN0103	9/21/2001	4	78	I
TKN0103	9/21/2001	5	94	I
TKN0103	9/21/2001	6	55	I
TKN0103	9/21/2001	7	58	I
TKN0103	9/21/2001	8	80	I
TKN0103	9/21/2001	9	63	I
TKN0103	9/21/2001	10	64	I
TKN0104	9/25/2001	1	100	I
TKN0104	9/25/2001	2	100	I
TKN0104	9/25/2001	3	100	I
TKN0104	9/25/2001	4	100	I
TKN0104	9/25/2001	5	100	I
TKN0104	9/25/2001	6	100	I
TKN0104	9/25/2001	7	100	I
TKN0104	9/25/2001	8	100	I
TKN0104	9/25/2001	9	100	I
TKN0104	9/25/2001	10	100	I
TKN0105	9/25/2001	1	100	O
TKN0105	9/25/2001	2	100	O
TKN0105	9/25/2001	3	100	O
TKN0105	9/25/2001	4	100	O
TKN0105	9/25/2001	5	100	O
TKN0105	9/25/2001	6	100	O
TKN0105	9/25/2001	7	100	O
TKN0105	9/25/2001	8	100	O
TKN0105	9/25/2001	9	100	O
TKN0105	9/25/2001	10	100	O
TKN0106	9/25/2001	1	80	R
TKN0106	9/25/2001	2	75	R
TKN0106	9/25/2001	3	75	R
TKN0106	9/25/2001	4	75	R
TKN0106	9/25/2001	5	80	R
TKN0106	9/25/2001	6	75	R
TKN0106	9/25/2001	7	80	R
TKN0106	9/25/2001	8	85	R
TKN0106	9/25/2001	9	85	R
TKN0106	9/25/2001	10	87	R
TKN0107	9/25/2001	1	56	I
TKN0107	9/25/2001	2	50	I
TKN0107	9/25/2001	3	59	I
TKN0107	9/25/2001	4	56	I
TKN0107	9/25/2001	5	53	I
TKN0107	9/25/2001	6	45	I
TKN0107	9/25/2001	7	51	I
TKN0107	9/25/2001	8	55	I
TKN0107	9/25/2001	9	63	I
TKN0107	9/25/2001	10	54	I
TKN0108	9/19/2001	1	45	I
TKN0108	9/19/2001	2	52	I
TKN0108	9/19/2001	3	57	I
TKN0108	9/19/2001	4	55	I
TKN0108	9/19/2001	5	63	I
TKN0108	9/19/2001	6	59	I
TKN0108	9/19/2001	7	62	I
TKN0108	9/19/2001	8	75	I
TKN0108	9/19/2001	9	67	I
TKN0108	9/19/2001	10	64	I
TKN0109	9/14/2001	1	100	O
TKN0109	9/14/2001	2	100	O
TKN0109	9/14/2001	3	85	I
TKN0109	9/14/2001	4	85	I
TKN0109	9/14/2001	5	100	I
TKN0109	9/14/2001	6	100	O
TKN0109	9/14/2001	7	100	O
TKN0109	9/14/2001	8	82	I
TKN0109	9/14/2001	9	100	O
TKN0109	9/14/2001	10	86	I
TKN0110	9/14/2001	1	55	I
TKN0110	9/14/2001	2	53	I
TKN0110	9/14/2001	3	50	I
TKN0110	9/14/2001	4	57	I
TKN0110	9/14/2001	5	52	I
TKN0110	9/14/2001	6	49	I
TKN0110	9/14/2001	7	58	I
TKN0110	9/14/2001	8	54	I
TKN0110	9/14/2001	9	60	I
TKN0110	9/14/2001	10	57	I
TKN0111	9/14/2001	1	73	I
TKN0111	9/14/2001	2	60	I
TKN0111	9/14/2001	3	55	I
TKN0111	9/14/2001	4	92	I
TKN0111	9/14/2001	5	69	I
TKN0111	9/14/2001	6	52	I
TKN0111	9/14/2001	7	64	I
TKN0111	9/14/2001	8	60	I
TKN0111	9/14/2001	9	67	I
TKN0111	9/14/2001	10	71	I
TKN0112	9/14/2001	1	68	I
TKN0112	9/14/2001	2	69	I
TKN0112	9/14/2001	3	65	I
TKN0112	9/14/2001	4	87	I
TKN0112	9/14/2001	5	77	I
TKN0112	9/14/2001	6	65	I
TKN0112	9/14/2001	7	50	I
TKN0112	9/14/2001	8	60	I
TKN0112	9/14/2001	9	50	I
TKN0112	9/14/2001	10	74	I
TKN0113	9/19/2001	1	66	I
TKN0113	9/19/2001	2	75	I
TKN0113	9/19/2001	3	50	I
TKN0113	9/19/2001	4	78	I
TKN0113	9/19/2001	5	51	I
TKN0113	9/19/2001	6	52	I
TKN0113	9/19/2001	7	57	I
TKN0113	9/19/2001	8	68	I
TKN0113	9/19/2001	9	50	I
TKN0113	9/19/2001	10	80	I
TKN0114	9/28/2001	1	67	R
TKN0114	9/28/2001	2	80	R
TKN0114	9/28/2001	3	120	O
TKN0114	9/28/2001	4	83	R
TKN0114	9/28/2001	5	90	R
TKN0114	9/28/2001	6	85	R
TKN0114	9/28/2001	7	90	R
TKN0114	9/28/2001	8	60	R
TKN0114	9/28/2001	9	80	R
TKN0114	9/28/2001	10	91	R
TKN0115	9/29/2001	1	60	I
TKN0115	9/29/2001	2	50	I
TKN0115	9/29/2001	3	54	I
TKN0115	9/29/2001	4	66	I
TKN0115	9/29/2001	5	61	I
TKN0115	9/29/2001	6	60	I
TKN0115	9/29/2001	7	78	I
TKN0115	9/29/2001	8	88	I
TKN0115	9/29/2001	9	87	I
TKN0115	9/29/2001	10	44	I
TKN0116	9/30/2001	1	40	I
TKN0116	9/30/2001	2	42	I
TKN0116	9/30/2001	3	43	I
TKN0116	9/30/2001	4	54	I
TKN0116	9/30/2001	5	72	I
TKN0116	9/30/2001	6	40	I
TKN0116	9/30/2001	7	41	I
TKN0116	9/30/2001	8	45	I
TKN0116	9/30/2001	9	46	I
TKN0116	9/30/2001	10	50	I
TKN0117	9/30/2001	1	120	O
TKN0117	9/30/2001	2	120	O
TKN0117	9/30/2001	3	120	O
TKN0117	9/30/2001	4	120	O
TKN0117	9/30/2001	5	100	I
TKN0117	9/30/2001	6	120	O
TKN0117	9/30/2001	7	85	I
TKN0117	9/30/2001	8	62	I
TKN0117	9/30/2001	9	120	O
TKN0117	9/30/2001	10	120	O
TKN0118	9/30/2001	1	55	I
TKN0118	9/30/2001	2	58	I
TKN0118	9/30/2001	3	68	I
TKN0118	9/30/2001	4	67	I
TKN0118	9/30/2001	5	54	I
TKN0118	9/30/2001	6	53	I
TKN0118	9/30/2001	7	64	I
TKN0118	9/30/2001	8	74	I
TKN0118	9/30/2001	9	58	I
TKN0118	9/30/2001	10	63	I
TKN0119	9/28/2001	1	60	I
TKN0119	9/28/2001	2	50	I
TKN0119	9/28/2001	3	50	I
TKN0119	9/28/2001	4	57	I
TKN0119	9/28/2001	5	43	I
TKN0119	9/28/2001	6	56	I
TKN0119	9/28/2001	7	56	I
TKN0119	9/28/2001	8	56	I
TKN0119	9/28/2001	9	51	I
TKN0119	9/28/2001	10	57	I
TKN0120	9/28/2001	1	42	I
TKN0120	9/28/2001	2	36	I
TKN0120	9/28/2001	3	45	I
TKN0120	9/28/2001	4	46	I
TKN0120	9/28/2001	5	46	I
TKN0120	9/28/2001	6	40	I
TKN0120	9/28/2001	7	43	I
TKN0120	9/28/2001	8	45	I
TKN0120	9/28/2001	9	45	I
TKN0120	9/28/2001	10	54	I
TKN0121	9/28/2001	1	90	R
TKN0121	9/28/2001	2	90	R
TKN0121	9/28/2001	3	60	R
TKN0121	9/28/2001	4	60	R
TKN0121	9/28/2001	5	80	R
TKN0121	9/28/2001	6	95	R
TKN0121	9/28/2001	7	85	R
TKN0121	9/28/2001	8	90	R
TKN0121	9/28/2001	9	95	R
TKN0121	9/28/2001	10	95	R
TKN0122	9/28/2001	1	110	R
TKN0122	9/28/2001	2	95	R
TKN0122	9/28/2001	3	120	O
TKN0122	9/28/2001	4	120	O
TKN0122	9/28/2001	5	97	R
TKN0122	9/28/2001	6	85	R
TKN0122	9/28/2001	7	120	O
TKN0122	9/28/2001	8	89	R
TKN0122	9/28/2001	9	110	I
TKN0122	9/28/2001	10	95	R
TKN0123	9/28/2001	1	95	I
TKN0123	9/28/2001	2	83	I
TKN0123	9/28/2001	3	115	I
TKN0123	9/28/2001	4	65	I
TKN0123	9/28/2001	5	92	I
TKN0123	9/28/2001	6	84	I
TKN0123	9/28/2001	7	114	I
TKN0123	9/28/2001	8	84	I
TKN0123	9/28/2001	9	97	I
TKN0123	9/28/2001	10	80	I
TKN0124	9/28/2001	1	35	R
TKN0124	9/28/2001	2	45	R
