Site ,Transect,Location,TD,Notes,
16,2,13,51,,
16,2,14,57,,
16,2,15,54,,
16,2,16,54,,
16,2,17,50,,
16,2,18,46,,
16,2,19,53,,
16,2,20,44,,
16,3,0,65,,
16,3,1,73,,
16,3,2,68,,
16,3,3,71,,
16,3,4,69,,
16,3,5,66,,
16,3,6,65,,
16,3,7,64,,
16,3,8,75,,
16,3,9,31,,
16,3,10,64,,
16,3,11,57,,
16,3,12,61,,
16,3,13,50,,
16,3,14,60,,
16,3,15,64,,
16,3,16,67,,
16,3,17,75,,
16,3,18,66,,
16,3,19,33,,
16,3,20,74,,
17,1,0,56,,
17,1,1,52,,
17,1,2,46,,
17,1,3,36,,
17,1,4,36,,
17,1,5,32,,
17,1,6,36,,
17,1,7,40,,
17,1,8,31,,
17,1,9,31,,
17,1,10,28,,
17,1,11,30,,
17,1,12,27,,
17,1,13,41,,
17,1,14,39,,
17,1,15,31,,
17,1,16,37,,
17,1,17,42,,
17,1,18,32,,
17,1,19,27,,
17,1,20,33,,
17,2,0,30,,
17,2,1,34,,
17,2,2,29,,
17,2,3,40,,
17,2,4,46,,
17,2,5,40,,
17,2,6,42,,
17,2,7,46,,
17,2,8,48,,
17,2,9,69,,
17,2,10,52,,
17,2,11,48,,
17,2,12,30,,
17,2,13,31,,
17,2,14,33,,
17,2,15,28,,
17,2,16,27,,
17,2,17,30,,
17,2,18,31,,
17,2,19,30,,
17,2,20,53,,
17,3,0,34,,
17,3,1,32,,
17,3,2,33,,
17,3,3,36,,
17,3,4,35,,
17,3,5,36,,
17,3,6,33,,
17,3,7,33,,
17,3,8,29,,
17,3,9,28,,
17,3,10,33,,
17,3,11,28,,
17,3,12,27,,
17,3,13,30,,
17,3,14,28,,
17,3,15,25,,
17,3,16,32,,
17,3,17,36,,
17,3,18,44,,
17,3,19,31,,
17,3,20,27,,
18,1,0,32,,
18,1,1,34,,
18,1,2,30,,
18,1,3,31,,
18,1,4,36,,
18,1,5,33,,
18,1,6,32,,
18,1,7,40,,
18,1,8,33,,
18,1,9,31,,
18,1,10,34,,
18,1,11,35,,
18,1,12,40,,
18,1,13,40,,
18,1,14,42,,
18,1,15,30,,
18,1,16,42,,
18,1,17,35,,
18,1,18,35,,
18,1,19,41,,
18,1,20,38,,
18,2,0,39,,
18,2,1,47,,
18,2,2,36,,
18,2,3,35,,
18,2,4,38,,
18,2,5,29,,
18,2,6,35,,
18,2,7,28,,
18,2,8,34,,
18,2,9,25,,
18,2,10,41,,
18,2,11,37,,
18,2,12,34,,
18,2,13,34,,
18,2,14,38,,
18,2,15,32,,
18,2,16,32,,
18,2,17,33,,
18,2,18,35,,
18,2,19,34,,
18,2,20,32,,
18,3,0,41,,
18,3,1,36,,
18,3,2,34,,
18,3,3,31,,
18,3,4,31,,
18,3,5,32,,
18,3,6,32,,
18,3,7,35,,
18,3,8,31,,
18,3,9,35,,
18,3,10,26,,
18,3,11,34,,
18,3,12,33,,
18,3,13,31,,
18,3,14,35,,
18,3,15,32,,
