Site ,Transect,Location,TD,Notes
14,1,33,93,
14,1,34,93,
14,1,35,84,
14,1,36,81,
14,1,37,77,
14,1,38,71,
14,1,39,83,
14,1,40,73,
14,1,41,81,
14,1,42,79,
14,1,43,70,
14,1,44,70,
14,1,45,87,
14,1,46,78,
14,1,47,80,
14,1,48,75,
14,1,49,70,
14,1,50,72,
14,1,51,83,
14,1,52,94,
14,1,53,79,
14,1,54,82,
14,1,55,72,
14,1,56,78,
14,1,57,85,
14,1,58,75,
14,1,59,82,
14,1,60,90,
14,1,61,78,
14,1,62,80,
14,1,63,81,
14,1,64,86,
14,1,65,80,
14,1,66,68,
14,1,67,73,
14,1,68,70,
14,1,69,70,
14,1,70,88,
14,1,71,87,
14,1,72,81,
14,1,73,86,
14,1,74,89,
14,1,75,83,
14,1,76,88,
14,1,77,79,
14,1,78,81,
14,1,79,79,
14,1,80,86,
14,1,81,71,
14,1,82,82,
14,1,83,77,
14,1,84,83,
14,1,85,74,
14,1,86,74,
14,1,87,70,
14,1,88,70,
14,1,89,80,
14,1,90,83,
14,1,91,78,
14,1,92,78,
14,1,93,75,
14,1,94,74,
14,1,95,69,
14,1,96,67,
14,1,97,63,
14,1,98,74,
14,1,99,73,
14,1,100,73,
15,1,0,96,
15,1,1,95,
15,1,2,94,
15,1,3,80,
15,1,4,80,
15,1,5,87,
15,1,6,90,
15,1,7,95,
15,1,8,85,
15,1,9,73,
15,1,10,65,
15,1,11,75,
15,1,12,82,
15,1,13,76,
15,1,14,96,
15,1,15,90,
15,1,16,70,
15,1,17,100,
15,1,18,79,
15,1,19,78,
15,1,20,76,
15,1,21,75,
15,1,22,66,
15,1,23,84,
15,1,24,83,
15,1,25,70,
15,1,26,75,
15,1,27,74,
15,1,28,64,
15,1,29,67,
15,1,30,59,
15,1,31,57,
15,1,32,63,
15,1,33,62,
15,1,34,73,
15,1,35,70,
15,1,36,78,
15,1,37,65,
15,1,38,70,
15,1,39,71,
15,1,40,75,
15,1,41,67,
15,1,42,63,
15,1,43,58,
15,1,44,72,
15,1,45,62,
15,1,46,58,
15,1,47,55,
15,1,48,57,
15,1,49,62,
15,1,50,59,
15,1,51,58,
15,1,52,69,
15,1,53,71,
15,1,54,65,
15,1,55,57,
15,1,56,59,
15,1,57,70,
15,1,58,77,
15,1,59,73,
15,1,60,53,
15,1,61,69,
15,1,62,73,
15,1,63,81,
15,1,64,57,
15,1,65,66,
15,1,66,66,
15,1,67,74,
15,1,68,70,
15,1,69,82,
15,1,70,71,
15,1,71,89,
15,1,72,72,
15,1,73,68,
15,1,74,64,
15,1,75,68,
15,1,76,67,
15,1,77,63,
15,1,78,64,
15,1,79,72,
15,1,80,68,
15,1,81,61,
15,1,82,62,
15,1,83,62,
15,1,84,71,
15,1,85,72,
15,1,86,70,
15,1,87,70,
15,1,88,79,
15,1,89,78,
15,1,90,73,
15,1,91,69,
15,1,92,67,
15,1,93,53,
15,1,94,51,
15,1,95,45,
15,1,96,63,
15,1,97,54,
15,1,98,58,
15,1,99,59,
15,1,100,53,
16,1,0,62,
16,1,1,63,
16,1,2,62,
16,1,3,78,
16,1,4,70,
16,1,5,71,
16,1,6,71,
16,1,7,70,
16,1,8,69,
16,1,9,70,
16,1,10,74,
16,1,11,70,
16,1,12,65,
16,1,13,65,
16,1,14,60,
16,1,15,52,
16,1,16,67,
16,1,17,63,
16,1,18,63,
16,1,19,58,
16,1,20,63,
16,1,21,69,
16,1,22,66,
16,1,23,58,
16,1,24,60,
16,1,25,78,
16,1,26,77,
16,1,27,76,
16,1,28,72,
16,1,29,70,
16,1,30,62,
16,1,31,72,
16,1,32,71,
16,1,33,68,
16,1,34,68,
16,1,35,63,
16,1,36,65,
16,1,37,69,
16,1,38,74,
16,1,39,75,
16,1,40,72,
16,1,41,70,
16,1,42,78,
16,1,43,76,
16,1,44,64,
16,1,45,73,
16,1,46,75,
16,1,47,71,
16,1,48,71,
16,1,49,72,
16,1,50,80,
16,1,51,84,
16,1,52,80,
16,1,53,73,
16,1,54,85,
16,1,55,70,
16,1,56,70,
16,1,57,72,
16,1,58,89,
16,1,59,80,
16,1,60,69,
16,1,61,74,
16,1,62,70,
16,1,63,73,
16,1,64,71,
16,1,65,68,
16,1,66,64,
